Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_16_000000000-CMN9T_1_1101_9701_15485	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2108_6293_6791	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_22409_24715	4	4	50	2	1	1	50
M06508_12_000000000-CJG44_1_2103_21251_21505	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_9077_11638	96	99	49.230769	5	1	4	20
M06508_18_000000000-CNPPR_1_1111_13226_15170	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2106_11446_14105	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2114_25228_21235	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_21147_19864	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1104_4303_12512	2	2	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2101_10902_9479	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2105_25279_17484	2	4	33.333333	4	1	3	25
M06508_8_000000000-JTFYW_1_1111_28149_13026	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2114_20756_25736	1	11	8.333333	12	1	11	8.333333333333332
M06508_16_000000000-CMN9T_1_1105_28107_13286	1	2	33.333333	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_2109_18020_21424	1	41	2.380952	39	1	38	2.564102564102564
M06508_9_000000000-JTBW3_1_2106_7806_13602	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2103_19624_8604	6	14	30	14	5	9	35.714285714285715
M06508_16_000000000-CMN9T_1_1104_23520_4015	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1104_10173_3595	7	47	12.962963	29	2	27	6.896551724137931
M06508_18_000000000-CNPPR_1_2101_12926_13525	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1113_19056_3800	1	3	25	4	1	3	25
M06508_18_000000000-CNPPR_1_1102_22078_5780	1	1841	0.054289	115	1	114	0.8695652173913043
M06508_16_000000000-CMN9T_1_2102_23195_6124	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2105_26419_8914	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2111_17909_2131	105	5414	1.902519	180	1	179	0.5555555555555556
M06508_16_000000000-CMN9T_1_1109_21795_18964	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1114_21334_27335	1	14	6.666667	11	1	10	9.090909090909092
M06508_12_000000000-CJG44_1_1107_7742_16982	1	42	2.325581	29	1	28	3.4482758620689653
M06508_16_000000000-CMN9T_1_1110_26774_17182	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2108_22008_9131	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2113_24753_13496	1	2	33.333333	3	1	2	33.33333333333333
M06508_9_000000000-JTBW3_1_1109_21065_9643	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_15759_24585	2	3	40	4	2	2	50
M06508_12_000000000-CJG44_1_2107_11776_27394	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1106_4388_13228	2	7	22.222222	8	2	6	25
M06508_16_000000000-CMN9T_1_1104_5380_11618	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2108_14257_22420	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1109_17233_7913	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1108_15921_14251	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2106_23466_20576	3	4	42.857143	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_2114_3330_17163	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2114_28199_11556	4	19	17.391304	12	1	11	8.333333333333332
M06508_16_000000000-CMN9T_1_1108_14320_16470	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2114_20127_13470	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2114_25042_7202	2	8	20	8	1	7	12.5
