Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_12_000000000-CJG44_1_2108_20907_12915	1	153700	6.51e-4	91	1	90	1.098901098901099
M06508_16_000000000-CMN9T_1_2105_18011_21937	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1104_16120_8271	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2107_8588_16478	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1104_24751_13739	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2113_7271_17339	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1114_8431_12197	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2103_16793_21756	3	18	14.285714	15	1	14	6.666666666666667
M06508_8_000000000-JTFYW_1_1114_28194_18273	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2109_22483_21240	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1105_21849_22716	1	4	20	5	1	4	20
M06508_12_000000000-CJG44_1_2110_16079_16131	12	24	33.333333	17	7	10	41.17647058823529
M06508_19_000000000-CR8CR_1_1105_9089_6063	2	4	33.333333	4	1	3	25
M06508_18_000000000-CNPPR_1_2107_20044_5027	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1112_25563_20621	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2102_19276_27721	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2104_8491_9630	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2101_24939_14859	1	30	3.225806	28	1	27	3.571428571428571
M06508_19_000000000-CR8CR_1_2110_15175_16879	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2114_9103_4479	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2103_18685_23358	2	2	50	3	2	1	66.66666666666666
M06508_12_000000000-CJG44_1_1110_24982_18649	2	12	14.285714	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_1106_4718_18375	12	24	33.333333	18	7	11	38.88888888888889
M06508_16_000000000-CMN9T_1_2104_14687_20001	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2114_15502_11390	1	6	14.285714	6	1	5	16.666666666666664
M06508_12_000000000-CJG44_1_2107_10954_9530	1	37	2.631579	16	1	15	6.25
M06508_18_000000000-CNPPR_1_1113_20183_16412	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1108_25721_7949	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1101_10319_8663	2	3	40	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_2105_4075_16722	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1113_4196_13205	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1109_3385_12234	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1109_8794_12641	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1110_6951_15806	9	11	45	3	1	2	33.33333333333333
M06508_19_000000000-CR8CR_1_2113_8408_15905	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_8622_3988	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_18816_8693	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_25893_12576	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1106_26892_8626	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_11823_23346	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1114_11153_14867	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2112_23887_20388	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1103_16190_8041	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_16476_24009	1	15	6.25	9	1	8	11.11111111111111
M06508_8_000000000-JTFYW_1_1106_12417_25438	3	3	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2113_27649_19653	1	3	25	4	1	3	25
M06508_12_000000000-CJG44_1_2107_19360_4007	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2114_20956_10768	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2102_9439_27116	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_23083_20105	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2112_10745_18459	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1114_4729_14019	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_13792_2492	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1106_22157_25375	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1105_10965_6217	10	14	41.666667	14	9	5	64.28571428571429
M06508_16_000000000-CMN9T_1_1112_28568_16122	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1113_9639_23973	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2109_17249_14849	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2113_24466_10840	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1111_14970_17822	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_1114_21320_6428	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2113_13813_18316	2	2	50	2	1	1	50
M06508_12_000000000-CJG44_1_1103_8016_13089	1	18	5.263158	13	1	12	7.6923076923076925
M06508_12_000000000-CJG44_1_1110_11485_13367	2	7	22.222222	4	1	3	25
M06508_18_000000000-CNPPR_1_2110_10307_12185	1	13	7.142857	11	1	10	9.090909090909092
M06508_19_000000000-CR8CR_1_1113_2699_13839	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_2101_18307_7307	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1113_21481_13154	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_1107_14013_4502	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_22106_5479	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_23456_13448	68	1009	6.313835	93	1	92	1.0752688172043012
M06508_16_000000000-CMN9T_1_2108_1861_16027	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1108_28035_11930	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1109_14288_8865	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_28336_19928	4	11	26.666667	7	2	5	28.57142857142857
M06508_18_000000000-CNPPR_1_1104_7704_18353	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2110_24578_20146	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_24457_5302	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2113_16431_2459	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1109_20889_17836	1	8	11.111111	8	1	7	12.5
M06508_9_000000000-JTBW3_1_2109_4544_9977	62	66	48.4375	7	2	5	28.57142857142857
M06508_9_000000000-JTBW3_1_1106_27123_13662	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2111_16471_12831	6	7	46.153846	4	2	2	50
M06508_18_000000000-CNPPR_1_1111_5772_8747	1	12	7.692308	8	1	7	12.5
M06508_16_000000000-CMN9T_1_2103_25140_13726	2	2	50	2	1	1	50
M06508_12_000000000-CJG44_1_2111_6828_24161	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_6988_16670	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_23702_13298	2	2	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2104_8249_14037	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2104_23026_13002	2	3	40	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_1104_8978_21128	2	17	10.526316	12	2	10	16.666666666666664
M06508_16_000000000-CMN9T_1_2110_24373_11989	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2111_17705_9117	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2114_21996_14789	1	13	7.142857	12	1	11	8.333333333333332
M06508_18_000000000-CNPPR_1_2102_12222_6727	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_21406_15810	3	3	50	2	1	1	50
M06508_12_000000000-CJG44_1_2106_28310_11783	1	8	11.111111	9	1	8	11.11111111111111
M06508_8_000000000-JTFYW_1_2112_23124_16629	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1106_10841_10387	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1114_23687_24836	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1103_5379_13983	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2108_21601_9048	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1102_25299_17370	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1102_2595_10619	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1114_8015_10035	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1113_9590_8587	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2114_9894_24289	5	7	41.666667	6	3	3	50
M06508_19_000000000-CR8CR_1_2113_12414_12388	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1101_10818_9623	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2104_10381_24946	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1110_11522_13075	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1110_15206_24638	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2108_26378_15538	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_17598_15501	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2107_19818_17589	51	74	40.8	35	19	16	54.285714285714285
M06508_8_000000000-JTFYW_1_2102_4132_8853	2	2	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1101_21511_27494	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2112_15320_14307	1	7	12.5	6	1	5	16.666666666666664
M06508_16_000000000-CMN9T_1_2113_17918_25731	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_1109_26269_14144	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2108_12084_17123	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2114_21685_13461	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_2104_7381_24859	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1103_15930_22380	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1106_16279_4868	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_21643_11284	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1109_21319_27213	1	6	14.285714	6	1	5	16.666666666666664
M06508_18_000000000-CNPPR_1_2107_7549_15472	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2113_9649_23203	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1106_15732_8776	206	303	40.471513	24	1	23	4.166666666666666
M06508_8_000000000-JTFYW_1_2103_19337_15362	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2104_17298_6588	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1101_5048_19912	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2101_10159_13560	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_24387_5674	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2107_17881_27290	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2110_13245_5318	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2107_18543_3665	2	2	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1106_19561_19865	4	6	40	6	3	3	50
M06508_12_000000000-CJG44_1_2112_16676_6286	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2111_13903_9487	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1111_8641_21531	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1103_15595_20158	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1108_4735_9051	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2114_13296_7828	14	595	2.298851	46	1	45	2.1739130434782608
M06508_12_000000000-CJG44_1_1106_27109_7350	35	67	34.313725	39	16	23	41.02564102564102
M06508_16_000000000-CMN9T_1_1114_15663_10639	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1110_19511_11906	1	3	25	4	1	3	25
M06508_18_000000000-CNPPR_1_2102_21220_20511	1	14	6.666667	11	1	10	9.090909090909092
M06508_12_000000000-CJG44_1_1106_14997_18514	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2102_15864_8654	19	31	38	21	12	9	57.14285714285714
M06508_12_000000000-CJG44_1_2107_21790_4565	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2114_28898_17731	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_1107_15183_26376	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1112_10783_8806	3	13	18.75	9	1	8	11.11111111111111
M06508_16_000000000-CMN9T_1_2110_22117_3383	1	3	25	4	1	3	25
M06508_16_000000000-CMN9T_1_2103_25235_18806	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2102_8771_9578	2	7	22.222222	7	2	5	28.57142857142857
M06508_9_000000000-JTBW3_1_2104_12961_25127	3	16	15.789474	13	1	12	7.6923076923076925
M06508_12_000000000-CJG44_1_1108_3455_18346	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1106_21536_22934	10	36	21.73913	14	7	7	50
M06508_9_000000000-JTBW3_1_1106_9151_19650	1	2	33.333333	3	1	2	33.33333333333333
M06508_9_000000000-JTBW3_1_1110_19643_18918	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2110_15165_12350	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1106_28816_18449	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2104_21289_19726	5	5	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2105_9817_15116	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_22248_5095	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1106_19959_24324	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1114_25475_14440	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_18566_12474	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2111_26440_10498	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2108_21916_20589	1	3	25	4	1	3	25
M06508_12_000000000-CJG44_1_2105_7395_16591	2	3	40	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1111_5740_10580	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1101_18688_17345	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2111_14555_4103	1	6	14.285714	7	1	6	14.285714285714285
M06508_16_000000000-CMN9T_1_1113_5238_7005	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1106_7953_24515	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1112_14575_16584	1	9	10	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_1107_22896_20831	2	4	33.333333	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_2114_19387_11367	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2102_3078_12307	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_5036_21338	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2113_20548_6653	2	2	50	2	1	1	50
M06508_12_000000000-CJG44_1_1110_17582_16999	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1104_5878_10435	2	3	40	3	1	2	33.33333333333333
M06508_9_000000000-JTBW3_1_1101_16627_11377	5	7	41.666667	6	4	2	66.66666666666666
M06508_16_000000000-CMN9T_1_1112_12991_4119	1	137	0.724638	38	1	37	2.631578947368421
M06508_18_000000000-CNPPR_1_2101_14039_15142	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2112_20125_15105	1	850	0.117509	107	1	106	0.9345794392523363
M06508_18_000000000-CNPPR_1_1114_21830_23561	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2113_8457_23177	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1108_4202_21034	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1105_19648_3578	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1109_8265_23886	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2101_19459_6865	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1104_18112_10596	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_10173_21805	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_21791_7776	2	25	7.407407	16	2	14	12.5
M06508_16_000000000-CMN9T_1_1111_13456_5204	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1103_16976_22194	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1114_17192_15319	1	2	33.333333	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_1107_3320_18580	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1106_6702_12247	2	35	5.405405	29	1	28	3.4482758620689653
M06508_19_000000000-CR8CR_1_2107_23729_17482	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2107_16618_13427	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_2105_11313_12988	1	2	33.333333	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_1101_25856_18582	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1111_10716_18261	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1103_6610_21811	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_2111_23962_25896	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2102_6280_6382	216	1081	16.653816	86	1	85	1.1627906976744187
M06508_16_000000000-CMN9T_1_1106_19636_20088	5	5	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_19567_26283	2	3	40	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1102_17444_8279	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1102_17204_19017	5	52	8.77193	41	2	39	4.878048780487805
M06508_18_000000000-CNPPR_1_2110_5517_7164	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2113_4451_21683	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2101_13345_4187	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2107_11620_17752	1	24	4	21	1	20	4.761904761904762
M06508_18_000000000-CNPPR_1_2109_23506_7916	4	4	50	3	2	1	66.66666666666666
M06508_16_000000000-CMN9T_1_1112_18509_9997	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1103_14465_12881	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1103_18661_11577	3	3	50	3	2	1	66.66666666666666
M06508_18_000000000-CNPPR_1_2102_5289_16512	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2104_4918_17952	1	9	10	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1108_9591_5498	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2107_20811_16248	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1105_18424_28522	1	39	2.5	27	1	26	3.7037037037037033
M06508_16_000000000-CMN9T_1_2109_26902_9964	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_17858_10838	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_17026_24427	7	7	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2113_10766_13207	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1114_5834_19867	1	5	16.666667	6	1	5	16.666666666666664
M06508_16_000000000-CMN9T_1_1103_9946_24508	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2111_11862_5080	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1110_19268_24339	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2104_10037_23822	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2101_18747_18408	4	4	50	3	2	1	66.66666666666666
M06508_8_000000000-JTFYW_1_1114_17597_11794	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2113_6626_19313	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1108_8591_11072	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1103_18361_10397	1	5	16.666667	5	1	4	20
M06508_16_000000000-CMN9T_1_1103_25281_19626	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2105_21736_11557	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2110_24159_14834	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1108_24787_15525	2	2	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2110_17698_15742	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2110_27683_14263	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1101_24604_7003	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1113_13460_10385	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1109_17677_26625	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_2108_17170_18087	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1105_22835_8801	2	2	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2103_12940_18935	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2114_16424_14909	1	4	20	5	1	4	20
M06508_9_000000000-JTBW3_1_1104_14615_25009	6	12	33.333333	11	5	6	45.45454545454545
M06508_16_000000000-CMN9T_1_2104_13161_13133	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1109_17340_2808	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2105_19319_2924	6	6	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_11231_22488	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_18943_20421	4	4	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2104_23800_14999	3	19	13.636364	7	3	4	42.857142857142854
M06508_9_000000000-JTBW3_1_2111_6686_7050	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2111_18809_5350	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2108_15058_9796	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2101_6541_11415	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1101_15622_28291	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1111_8450_13528	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2104_14351_14885	2	4	33.333333	5	2	3	40
M06508_18_000000000-CNPPR_1_2104_11503_18814	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2109_17944_21295	1	4	20	4	1	3	25
M06508_18_000000000-CNPPR_1_1106_17218_5630	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1112_10517_14739	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2106_16788_11486	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1113_11952_24557	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2104_4235_22877	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2111_5327_8708	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2104_27409_8810	1	3	25	4	1	3	25
M06508_12_000000000-CJG44_1_2106_8662_11924	5	5	50	4	3	1	75
M06508_8_000000000-JTFYW_1_1106_15288_12271	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1114_11663_11100	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_17630_21274	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2110_10440_8928	2	5	28.571429	5	1	4	20
M06508_18_000000000-CNPPR_1_2104_24264_25175	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_2102_4277_16890	1	2	33.333333	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_2102_15563_20826	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_15460_7351	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1113_23369_6319	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1106_16647_6690	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1113_17419_3674	1	383	0.260417	35	1	34	2.857142857142857
M06508_16_000000000-CMN9T_1_2108_12616_9288	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2111_22555_18944	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_18760_15335	4	5	44.444444	4	2	2	50
M06508_16_000000000-CMN9T_1_1102_22399_3497	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2105_22957_12622	3	6	33.333333	6	3	3	50
M06508_12_000000000-CJG44_1_2104_22478_26178	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2111_19180_23515	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2113_9126_4571	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2102_16036_13642	2	12	14.285714	10	1	9	10
M06508_18_000000000-CNPPR_1_1113_12272_4070	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1101_11709_3256	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1108_25216_24578	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2109_21563_9304	1	4	20	5	1	4	20
M06508_16_000000000-CMN9T_1_2112_18416_2822	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1111_25955_17413	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1102_15815_25739	2	4	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_2112_18570_17740	1	19	5	13	1	12	7.6923076923076925
M06508_16_000000000-CMN9T_1_1113_20945_11937	2	10	16.666667	10	1	9	10
M06508_12_000000000-CJG44_1_2107_5181_14298	1	30	3.225806	25	1	24	4
M06508_16_000000000-CMN9T_1_2110_25393_8611	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_6387_12675	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2111_20936_15359	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2109_5781_17485	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2109_22916_12919	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2113_7251_4323	2	5	28.571429	5	1	4	20
M06508_16_000000000-CMN9T_1_2108_9697_11420	2	2	50	2	1	1	50
M06508_12_000000000-CJG44_1_1110_18820_6412	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1106_9776_15653	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1112_27610_12675	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2105_19605_19877	2	3	40	4	2	2	50
M06508_12_000000000-CJG44_1_1110_19328_6222	1	4	20	4	1	3	25
M06508_16_000000000-CMN9T_1_2105_11895_25334	1944	47665	3.918644	1019	12	1007	1.1776251226692835
