sample	number of pairs analyzed	total pairs passed	total pairs passed (percent of all pairs)	total pair_1 trimmed	total pair_1 trimmed (percent of all passed pairs)	total pair_2 trimmed	total pair_2 trimmed (percent of all passed pairs)	total pairs failed	total pairs failed (percent of all pairs)	pairs failed due to pair_1	pairs failed due to pair_1 (percent of all failed pairs)	pairs failed due to pair_2	pairs failed due to pair_2 (percent of all failed pairs)	pairs failed due to both	pairs failed due to both (percent of all failed pairs)	FAILED_REASON_P	FAILED_REASON_P (percent of all failed pairs)	FAILED_REASON_N	FAILED_REASON_N (percent of all failed pairs)	FAILED_REASON_C33	FAILED_REASON_C33 (percent of all failed pairs)
WA_ALPH_PCWS_MG_P05	3659040	2869388	78.42	0	0.00	0	0.00	789652	21.58	41334	5.23	700269	88.68	48049	6.08	0	0	0	0	0	0
WA_ALPH_SIMU_GL_P09	3648448	2670889	73.21	0	0.00	0	0.00	977559	26.79	41309	4.23	874097	89.42	62153	6.36	0	0	0	0	0	0
WA_ALPH_SIMU_HP_P09	3633060	3519319	96.87	1	0.00	0	0.00	113741	3.13	35676	31.37	52569	46.22	25496	22.42	0	0	0	0	0	0
WA_ALPH_SIMU_MG_P09	3633035	3427252	94.34	0	0.00	524	0.02	205783	5.66	34830	16.93	144192	70.07	26761	13.00	0	0	0	0	0	0
WA_ALPH_VERR_GL_P10	3544349	3353362	94.61	0	0.00	268	0.01	190987	5.39	38087	19.94	128928	67.51	23972	12.55	0	0	0	0	0	0
WA_ALPH_VERR_HP_P10	3525330	3320336	94.19	0	0.00	423	0.01	204994	5.81	40911	19.96	138721	67.67	25362	12.37	0	0	0	0	0	0
WA_ALPH_VERR_MG_P10	3609889	3417633	94.67	0	0.00	193	0.01	192256	5.33	37060	19.28	127808	66.48	27388	14.25	0	0	0	0	0	0
WA_ALPH_WEBS_GL_P01	3525330	2378863	67.48	1	0.00	0	0.00	1146467	32.52	65585	5.72	1009106	88.02	71776	6.26	0	0	0	0	0	0
WA_ALPH_WEBS_HP_P01	3542084	3303677	93.27	0	0.00	98	0.00	238407	6.73	38641	16.21	170295	71.43	29471	12.36	0	0	0	0	0	0
WA_ALPH_WEBS_MG_P01	3574223	3342672	93.52	0	0.00	66	0.00	231551	6.48	37968	16.40	168506	72.77	25077	10.83	0	0	0	0	0	0
