SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
Control_10	4854	3440	3404	3417	3378	0.696
Control_11	6264	5922	5910	5914	5905	0.943
Control_12	5840	3291	3213	3257	3210	0.55
Control_1	4813	4595	4581	4585	4580	0.952
Control_2	4153	3757	3733	3736	3672	0.884
Control_3	6932	2135	2113	2111	2101	0.303
Control_4	2445	2254	2253	2253	2252	0.921
Control_5	833	778	777	776	776	0.932
Control_6	2657	2378	2376	2373	2372	0.893
Control_7	3412	3245	3236	3232	3227	0.946
Control_8	9156	2056	2015	2019	1999	0.218
Control_9	3731	3478	3418	3472	3399	0.911
EP_A_AREN_EG_8651	17019	16632	16251	16296	15766	0.926
EP_A_AREN_EG_8654	19586	18954	18659	18720	18113	0.925
EP_A_AREN_EG_8698	13996	13622	13366	13470	12850	0.918
EP_A_AREN_GL_8465	8995	8581	8381	8451	8092	0.9
EP_A_AREN_GL_8507	27436	26285	26067	26118	25480	0.929
EP_A_AREN_GL_8508	9866	9506	9311	9361	8982	0.91
EP_A_AREN_GL_8515	8081	7495	7313	7349	6952	0.86
EP_A_AREN_GL_8520	9888	9608	9542	9531	9298	0.94
EP_A_AREN_GL_8624	19816	19136	18881	18958	18360	0.927
EP_A_AREN_GL_8625	34760	33251	32830	32967	31776	0.914
EP_A_AREN_GL_8626	14100	13737	13592	13631	13294	0.943
EP_A_AREN_GL_8627	8592	8343	8173	8238	7933	0.923
EP_A_AREN_GL_8650	19245	18361	18132	18207	17721	0.921
EP_A_AREN_GL_8651	14257	13912	13729	13781	13467	0.945
EP_A_AREN_GL_8652	16722	16269	15998	16097	15543	0.929
EP_A_AREN_GL_8654	247829	240613	238693	239281	233847	0.944
EP_A_AREN_GL_8658	9791	9538	9331	9386	8942	0.913
EP_A_AREN_GL_8697	23819	22915	22802	22817	22281	0.935
EP_A_AREN_GL_8698	14698	14255	14149	14190	14020	0.954
EP_A_AREN_GL_8699	18380	17839	17523	17623	16949	0.922
EP_A_AREN_HP_8465	12222	11805	11605	11659	11358	0.929
EP_A_AREN_HP_8507	34287	32507	32359	32393	32086	0.936
EP_A_AREN_HP_8508	9244	8496	8366	8413	8175	0.884
EP_A_AREN_HP_8515	19310	18563	18488	18468	18324	0.949
EP_A_AREN_HP_8520	10560	10297	10207	10238	10066	0.953
EP_A_AREN_HP_8624	15965	15097	14844	14897	14360	0.899
EP_A_AREN_HP_8625	38631	37834	37771	37765	37643	0.974
EP_A_AREN_HP_8626	24957	24241	24134	24172	23996	0.961
EP_A_AREN_HP_8627	9639	9450	9325	9353	9193	0.954
EP_A_AREN_HP_8650	21429	20704	20663	20655	20591	0.961
EP_A_AREN_HP_8651	10972	10624	10488	10579	10342	0.943
EP_A_AREN_HP_8652	12230	11896	11825	11831	11682	0.955
EP_A_AREN_HP_8654	15241	14730	14649	14668	14493	0.951
EP_A_AREN_HP_8658	7683	7429	7353	7366	7240	0.942
EP_A_AREN_HP_8697	19761	17926	17897	17876	17843	0.903
EP_A_AREN_HP_8698	199871	190874	189440	189775	184982	0.926
EP_A_AREN_HP_8699	19284	18770	18614	18631	18228	0.945
EP_A_AREN_MG_8465	6896	6670	6542	6572	6256	0.907
EP_A_AREN_MG_8507	27773	26780	26557	26630	26230	0.944
EP_A_AREN_MG_8508	14132	13441	13330	13318	13121	0.928
EP_A_AREN_MG_8515	10891	10498	10423	10450	10301	0.946
EP_A_AREN_MG_8520	14788	14155	14108	14116	14020	0.948
EP_A_AREN_MG_8624	11524	11157	11048	11063	10785	0.936
EP_A_AREN_MG_8625	27028	26363	26284	26335	26012	0.962
