SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
Control_37	9610	8844	8834	8832	7778	0.809
Control_38	7904	7304	7294	7299	6432	0.814
Control_39	15311	12470	12447	12449	11439	0.747
Control_40	1720	1546	1542	1534	1531	0.89
Control_41	725	524	516	517	514	0.709
Control_42	1586	1015	990	988	986	0.622
Control_43	5324	5012	4977	4986	4810	0.903
Control_44	6170	470	412	412	342	0.055
Control_45	3477	3302	3296	3292	3009	0.865
Control_46	3570	3154	3152	3152	3150	0.882
Control_47	2509	1796	1782	1786	1775	0.707
Control_48	2964	725	705	704	704	0.238
WA_A_BAHA_EG_7656	6982	6426	6272	6290	6072	0.87
WA_A_BAHA_GL_7472	38542	37291	36868	36878	35074	0.91
WA_A_BAHA_GL_7473	26566	25214	25056	25067	23591	0.888
WA_A_BAHA_GL_7474	1020	981	934	948	891	0.874
WA_A_BAHA_GL_7476	22788	21908	21636	21709	20425	0.896
WA_A_BAHA_GL_7477	32667	30935	30644	30656	28124	0.861
WA_A_BAHA_GL_7650	8896	8470	8420	8407	8333	0.937
WA_A_BAHA_GL_7656	13364	12555	12419	12421	11829	0.885
WA_A_BAHA_HP_7472	22165	21076	20930	20953	20315	0.917
WA_A_BAHA_HP_7473	12139	11148	11089	11097	10877	0.896
WA_A_BAHA_HP_7474	7950	7494	7451	7424	7341	0.923
WA_A_BAHA_HP_7476	22921	21160	20935	20942	19391	0.846
WA_A_BAHA_HP_7477	27294	26221	26083	26127	23715	0.869
WA_A_BAHA_HP_7650	12432	11538	11456	11462	11141	0.896
WA_A_BAHA_HP_7656	8972	6285	6165	6246	5765	0.643
WA_A_BAHA_MG_7472	24339	23569	23329	23390	20058	0.824
WA_A_BAHA_MG_7473	25845	25111	24956	24980	21527	0.833
WA_A_BAHA_MG_7474	14310	13745	13481	13502	12846	0.898
WA_A_BAHA_MG_7476	10042	9558	9377	9415	9047	0.901
WA_A_BAHA_MG_7477	33195	32395	32277	32239	28980	0.873
