SampleID	input	filtered	per_reads_kept
EP_A_HYEY_GL_8961	11971	11289	0.943
EP_A_HYEY_GL_8962	16420	15515	0.945
EP_A_HYEY_HP_8955	9237	8722	0.944
EP_A_HYEY_HP_8959	17981	15284	0.85
EP_A_HYEY_HP_8961	8691	7958	0.916
EP_A_HYEY_HP_8962	8351	7869	0.942
EP_A_HYEY_MG_8955	4100	3922	0.957
EP_A_HYEY_MG_8959	10087	9624	0.954
EP_A_HYEY_MG_8961	11490	10825	0.942
EP_A_HYEY_MG_8962	7874	7480	0.95
EP_A_HYEY_ST_8955	5570	5272	0.946
EP_A_HYEY_ST_8959	8339	7775	0.932
EP_A_HYEY_ST_8961	9934	9465	0.953
EP_A_HYEY_ST_8962	10365	9711	0.937
EP_A_JAVI_GL_8940	18880	17836	0.945
EP_A_JAVI_GL_8981	7086	6641	0.937
EP_A_JAVI_HP_8940	15298	14218	0.929
EP_A_JAVI_HP_8981	8993	8619	0.958
EP_A_JAVI_MG_8940	12210	11888	0.974
EP_A_JAVI_MG_8981	15593	14793	0.949
EP_A_JAVI_ST_8940	24752	23331	0.943
EP_A_JAVI_ST_8981	12108	11266	0.93
EP_A_PANA_GL_9131	14210	13401	0.943
EP_A_PANA_GL_9340	11689	11058	0.946
EP_A_PANA_HP_9131	6720	6286	0.935
EP_A_PANA_HP_9340	7804	7523	0.964
EP_A_PANA_MG_9131	7606	7098	0.933
EP_A_PANA_MG_9340	8067	7592	0.941
EP_A_PANA_ST_9131	5338	4945	0.926
EP_A_PANA_ST_9340	7647	7255	0.949
EP_A_ROST_EG_9072	14616	13772	0.942
EP_A_ROST_EG_9119	25815	24378	0.944
EP_A_ROST_GL_9072	4979	4654	0.935
EP_A_ROST_GL_9074	11193	10533	0.941
EP_A_ROST_GL_9119	19378	18694	0.965
EP_A_ROST_GL_9122	10309	9735	0.944
EP_A_ROST_GL_9124	22242	21780	0.979
EP_A_ROST_HP_9072	6087	5759	0.946
EP_A_ROST_HP_9074	8394	7868	0.937
EP_A_ROST_HP_9119	14576	14044	0.964
EP_A_ROST_HP_9122	6874	6581	0.957
EP_A_ROST_HP_9124	16985	16685	0.982
EP_A_ROST_MG_9072	10256	9760	0.952
EP_A_ROST_MG_9074	10348	9759	0.943
EP_A_ROST_MG_9119	18044	17477	0.969
EP_A_ROST_MG_9122	11462	10834	0.945
EP_A_ROST_MG_9124	25600	25035	0.978
EP_A_ROST_ST_9072	8677	8259	0.952
EP_A_ROST_ST_9074	6796	6293	0.926
EP_A_ROST_ST_9119	15042	14483	0.963
EP_A_ROST_ST_9122	8791	8240	0.937
EP_A_ROST_ST_9124	20032	19451	0.971
EP_A_UMBO_GL_9266	11961	11262	0.942
EP_A_UMBO_HP_9266	10050	9411	0.936
EP_A_UMBO_MG_9266	11693	11133	0.952
EP_A_UMBO_ST_9266	15323	14519	0.948
EP_A_UTRI_GL_9133	10152	9514	0.937
EP_A_UTRI_GL_9134	7273	6881	0.946
EP_A_UTRI_GL_9135	9429	8776	0.931
EP_A_UTRI_GL_9187	7679	7209	0.939
EP_A_UTRI_GL_9269	7474	6948	0.93
EP_A_UTRI_GL_9271	10569	9936	0.94
EP_A_UTRI_HP_9133	9900	9352	0.945
EP_A_UTRI_HP_9134	13950	12798	0.917
EP_A_UTRI_HP_9135	7358	6551	0.89
EP_A_UTRI_HP_9187	8019	7394	0.922
EP_A_UTRI_HP_9269	10014	9280	0.927
EP_A_UTRI_HP_9271	7985	7275	0.911
EP_A_UTRI_MG_9133	8402	7840	0.933
EP_A_UTRI_MG_9134	8906	8392	0.942
EP_A_UTRI_MG_9135	10307	9598	0.931
EP_A_UTRI_MG_9187	9525	8601	0.903
EP_A_UTRI_MG_9269	10778	10142	0.941
EP_A_UTRI_MG_9271	10008	9397	0.939
EP_A_UTRI_ST_9133	11055	10355	0.937
EP_A_UTRI_ST_9135	7970	7252	0.91
EP_A_UTRI_ST_9187	10390	9807	0.944
EP_A_UTRI_ST_9269	11729	10936	0.932
EP_A_UTRI_ST_9271	9123	8496	0.931
WA_A_BAHA_EG_7652	29333	27583	0.94
WA_A_BAHA_EG_7654	20586	19721	0.958
WA_A_BAHA_GL_7471	99656	95383	0.957
WA_A_BAHA_GL_7501	18435	17694	0.96
WA_A_BAHA_GL_7513	21865	21051	0.963
WA_A_BAHA_GL_7515	18770	18075	0.963
WA_A_BAHA_GL_7652	15454	14454	0.935
WA_A_BAHA_GL_7654	19130	18326	0.958
WA_A_BAHA_HP_7471	68186	64286	0.943
WA_A_BAHA_HP_7501	21883	21349	0.976
WA_A_BAHA_HP_7513	15510	15062	0.971
WA_A_BAHA_HP_7515	11359	10942	0.963
WA_A_BAHA_HP_7652	8508	7676	0.902
WA_A_BAHA_HP_7654	14160	10040	0.709
WA_A_BAHA_MG_7471	8222	8038	0.978
WA_A_BAHA_MG_7501	16341	15913	0.974
WA_A_BAHA_MG_7513	21362	20504	0.96
WA_A_BAHA_MG_7515	23405	22691	0.969
WA_A_BAHA_MG_7652	14983	14432	0.963
WA_A_BAHA_MG_7654	24189	23467	0.97
WA_A_BAHA_ST_7471	10982	10427	0.949
WA_A_BAHA_ST_7501	11080	10694	0.965
WA_A_BAHA_ST_7513	4862	4711	0.969
WA_A_BAHA_ST_7515	15427	14876	0.964
WA_A_BAHA_ST_7652	23439	22462	0.958
WA_A_BAHA_ST_7654	17755	15375	0.866
WA_A_BOUV_EG_7511	35471	33837	0.954
WA_A_BOUV_EG_7581	2678	2483	0.927
WA_A_BOUV_EG_7583	32585	31249	0.959
WA_A_BOUV_EG_7586	36185	34580	0.956
WA_A_BOUV_EG_7645	26544	25576	0.964
WA_A_BOUV_GL_7508	41379	39636	0.958
WA_A_BOUV_GL_7509	20926	19905	0.951
WA_A_BOUV_GL_7511	21195	20159	0.951
WA_A_BOUV_GL_7581	9541	9155	0.96
WA_A_BOUV_GL_7583	24127	23236	0.963
WA_A_BOUV_GL_7584	31494	30069	0.955
WA_A_BOUV_GL_7586	45217	42875	0.948
WA_A_BOUV_GL_7587	21686	19822	0.914
WA_A_BOUV_GL_7639	14287	13759	0.963
WA_A_BOUV_GL_7640	16666	16137	0.968
WA_A_BOUV_GL_7643	8396	8072	0.961
WA_A_BOUV_GL_7644	17830	16907	0.948
WA_A_BOUV_GL_7645	24798	24032	0.969
WA_A_BOUV_HP_7508	29705	29050	0.978
WA_A_BOUV_HP_7509	14350	13723	0.956
WA_A_BOUV_HP_7511	17850	17500	0.98
WA_A_BOUV_HP_7581	11001	10490	0.954
WA_A_BOUV_HP_7583	7657	7528	0.983
WA_A_BOUV_HP_7584	23409	22979	0.982
WA_A_BOUV_HP_7586	24016	23415	0.975
WA_A_BOUV_HP_7587	9111	7939	0.871
WA_A_BOUV_HP_7639	19883	19325	0.972
WA_A_BOUV_HP_7640	11973	11373	0.95
WA_A_BOUV_HP_7643	15907	14900	0.937
WA_A_BOUV_HP_7644	9236	9057	0.981
WA_A_BOUV_HP_7645	24746	24271	0.981
WA_A_BOUV_MG_7508	15518	15161	0.977
WA_A_BOUV_MG_7509	24522	24034	0.98
WA_A_BOUV_MG_7511	17436	17066	0.979
WA_A_BOUV_MG_7581	14944	14375	0.962
WA_A_BOUV_MG_7583	14367	14075	0.98
WA_A_BOUV_MG_7584	12723	12454	0.979
WA_A_BOUV_MG_7586	32705	31948	0.977
WA_A_BOUV_MG_7587	27901	27222	0.976
WA_A_BOUV_MG_7639	13262	12903	0.973
WA_A_BOUV_MG_7640	23121	22570	0.976
WA_A_BOUV_MG_7643	10353	10097	0.975
WA_A_BOUV_MG_7644	13728	13401	0.976
WA_A_BOUV_MG_7645	26360	25826	0.98
WA_A_BOUV_ST_7508	39134	37022	0.946
WA_A_BOUV_ST_7509	25544	24489	0.959
WA_A_BOUV_ST_7511	36810	35065	0.953
WA_A_BOUV_ST_7581	18669	17842	0.956
WA_A_BOUV_ST_7583	33679	32704	0.971
WA_A_BOUV_ST_7584	37067	35745	0.964
WA_A_BOUV_ST_7586	22642	21720	0.959
WA_A_BOUV_ST_7587	18503	17872	0.966
WA_A_BOUV_ST_7639	24015	23097	0.962
WA_A_BOUV_ST_7643	26943	25266	0.938
WA_A_BOUV_ST_7644	16066	15418	0.96
WA_A_BOUV_ST_7645	18929	18404	0.972
WA_A_CRIS_EG_7537	17842	16535	0.927
WA_A_CRIS_GL_7499	36870	35564	0.965
WA_A_CRIS_GL_7500	13399	12956	0.967
WA_A_CRIS_GL_7537	21707	21098	0.972
WA_A_CRIS_HP_7499	58116	55176	0.949
WA_A_CRIS_HP_7500	7418	6886	0.928
WA_A_CRIS_HP_7537	9605	9221	0.96
WA_A_CRIS_MG_7499	43158	40881	0.947
WA_A_CRIS_MG_7500	161998	153646	0.948
WA_A_CRIS_MG_7537	24823	23943	0.965
WA_A_CRIS_ST_7499	37091	35427	0.955
WA_A_CRIS_ST_7500	23852	23024	0.965
WA_A_CRIS_ST_7537	26651	25374	0.952
WA_A_FLOR_GL_7696	23366	22692	0.971
WA_A_FLOR_HP_7696	14031	13467	0.96
WA_A_FLOR_MG_7696	41801	40767	0.975
WA_A_FLOR_ST_7696	20891	20168	0.965
WA_A_FORM_GL_7403	19690	19114	0.971
WA_A_FORM_GL_7456	15959	15503	0.971
WA_A_FORM_GL_7550	30200	29243	0.968
WA_A_FORM_GL_7657	18612	17975	0.966
WA_A_FORM_GL_7658	18998	18394	0.968
WA_A_FORM_GL_7675	15770	15234	0.966
WA_A_FORM_GL_7748	25773	24992	0.97
WA_A_FORM_HP_7403	27011	26428	0.978
WA_A_FORM_HP_7456	8522	8053	0.945
WA_A_FORM_HP_7550	48397	46980	0.971
WA_A_FORM_HP_7657	22990	22327	0.971
WA_A_FORM_HP_7658	25441	24624	0.968
WA_A_FORM_HP_7675	17423	16942	0.972
WA_A_FORM_HP_7748	15749	15343	0.974
WA_A_FORM_MG_7403	13527	13019	0.962
WA_A_FORM_MG_7456	11105	10744	0.967
WA_A_FORM_MG_7550	27378	26528	0.969
WA_A_FORM_MG_7658	19360	18777	0.97
WA_A_FORM_MG_7675	19507	18995	0.974
WA_A_FORM_MG_7748	13038	12694	0.974
WA_A_FORM_ST_7403	17696	17229	0.974
WA_A_FORM_ST_7456	18623	18066	0.97
WA_A_FORM_ST_7550	26125	25287	0.968
WA_A_FORM_ST_7657	5944	5762	0.969
WA_A_FORM_ST_7658	13458	13047	0.969
WA_A_FORM_ST_7675	22803	22167	0.972
WA_A_FORM_ST_7748	21704	21051	0.97
WA_A_NUTT_EG_7526	34695	33007	0.951
WA_A_NUTT_GL_7431	25002	24364	0.974
WA_A_NUTT_GL_7491	19676	19100	0.971
WA_A_NUTT_GL_7492	49748	47696	0.959
WA_A_NUTT_GL_7526	37789	36078	0.955
WA_A_NUTT_GL_7527	19155	18614	0.972
WA_A_NUTT_GL_7528	116663	113159	0.97
WA_A_NUTT_HP_7431	11737	11257	0.959
WA_A_NUTT_HP_7491	12600	12297	0.976
WA_A_NUTT_HP_7492	23235	22461	0.967
WA_A_NUTT_HP_7526	34767	33842	0.973
WA_A_NUTT_HP_7527	27873	27325	0.98
WA_A_NUTT_HP_7528	61645	59827	0.971
WA_A_NUTT_MG_7431	19360	18595	0.96
WA_A_NUTT_MG_7491	28015	27123	0.968
WA_A_NUTT_MG_7492	29369	28543	0.972
WA_A_NUTT_MG_7526	24428	23661	0.969
WA_A_NUTT_MG_7527	22628	22113	0.977
WA_A_NUTT_MG_7528	29459	28736	0.975
WA_A_NUTT_ST_7431	32449	31188	0.961
WA_A_NUTT_ST_7491	13142	12771	0.972
WA_A_NUTT_ST_7492	30768	29673	0.964
WA_A_NUTT_ST_7526	21878	21122	0.965
WA_A_NUTT_ST_7527	23373	22662	0.97
WA_A_NUTT_ST_7528	34753	33472	0.963
WA_A_PARA_EG_7451	14206	13295	0.936
WA_A_PARA_GL_7451	15481	14563	0.941
WA_A_PARA_GL_7462	29161	27914	0.957
WA_A_PARA_GL_7467	30723	29900	0.973
WA_A_PARA_HP_7451	3039	2865	0.943
WA_A_PARA_HP_7462	21504	20029	0.931
WA_A_PARA_HP_7467	14208	13180	0.928
WA_A_PARA_MG_7451	11544	11096	0.961
WA_A_PARA_MG_7462	34745	33758	0.972
WA_A_PARA_MG_7467	29877	28863	0.966
WA_A_PARA_ST_7451	14378	13792	0.959
WA_A_PARA_ST_7462	24352	23688	0.973
WA_A_PARA_ST_7467	25989	24933	0.959
WA_A_PCNS_EG_7604	12023	11269	0.937
WA_A_PCNS_EG_7715	15114	14605	0.966
WA_A_PCNS_GL_7446	33999	32126	0.945
WA_A_PCNS_GL_7554	4107	3893	0.948
WA_A_PCNS_GL_7604	19617	18671	0.952
WA_A_PCNS_GL_7715	18541	17550	0.947
WA_A_PCNS_HP_7446	24650	22644	0.919
WA_A_PCNS_HP_7554	6444	6226	0.966
WA_A_PCNS_HP_7604	6730	6413	0.953
WA_A_PCNS_HP_7715	8733	7126	0.816
WA_A_PCNS_MG_7446	22538	21922	0.973
WA_A_PCNS_MG_7554	11409	11132	0.976
WA_A_PCNS_MG_7604	20032	19564	0.977
WA_A_PCNS_MG_7715	27262	26178	0.96
WA_A_PCNS_ST_7446	32466	31222	0.962
WA_A_PCNS_ST_7554	4401	4290	0.975
WA_A_PCNS_ST_7604	35560	34201	0.962
WA_A_PCNS_ST_7715	9098	7835	0.861
WA_A_PCWS_EG_7444	25610	24595	0.96
WA_A_PCWS_EG_7558	21069	20314	0.964
WA_A_PCWS_GL_7439	34355	32487	0.946
WA_A_PCWS_GL_7444	19643	19226	0.979
WA_A_PCWS_GL_7555	15894	15018	0.945
WA_A_PCWS_GL_7556	24231	23728	0.979
WA_A_PCWS_GL_7557	11449	10914	0.953
WA_A_PCWS_GL_7558	14216	13430	0.945
WA_A_PCWS_GL_7672	10938	10418	0.952
WA_A_PCWS_HP_7400	26200	24823	0.947
WA_A_PCWS_HP_7439	19169	18216	0.95
WA_A_PCWS_HP_7444	28813	28304	0.982
WA_A_PCWS_HP_7555	21353	19718	0.923
WA_A_PCWS_HP_7556	19755	19414	0.983
WA_A_PCWS_HP_7557	13230	12451	0.941
WA_A_PCWS_HP_7558	19771	19388	0.981
WA_A_PCWS_HP_7672	17809	17098	0.96
WA_A_PCWS_MG_7400	44010	42482	0.965
WA_A_PCWS_MG_7439	26052	25284	0.971
WA_A_PCWS_MG_7444	26829	26100	0.973
WA_A_PCWS_MG_7555	33430	32439	0.97
WA_A_PCWS_MG_7556	21284	20799	0.977
WA_A_PCWS_MG_7558	30363	29628	0.976
WA_A_PCWS_MG_7672	19739	19235	0.974
WA_A_PCWS_ST_7400	30937	30022	0.97
WA_A_PCWS_ST_7439	24388	22802	0.935
WA_A_PCWS_ST_7444	36648	35905	0.98
WA_A_PCWS_ST_7555	29840	28413	0.952
WA_A_PCWS_ST_7556	23606	23203	0.983
WA_A_PCWS_ST_7558	21432	21004	0.98
WA_A_PCWS_ST_7672	47567	45163	0.949
WA_A_THOM_GL_7393	35508	34206	0.963
WA_A_THOM_GL_7417	124033	120712	0.973
WA_A_THOM_GL_7420	17347	16889	0.974
WA_A_THOM_GL_7480	9981	9631	0.965
WA_A_THOM_GL_7502	21927	21187	0.966
WA_A_THOM_GL_7540	14479	13996	0.967
WA_A_THOM_GL_7543	82265	79851	0.971
WA_A_THOM_HP_7393	17689	15456	0.874
WA_A_THOM_HP_7417	97755	95085	0.973
WA_A_THOM_HP_7420	7452	7248	0.973
WA_A_THOM_HP_7480	13957	13400	0.96
WA_A_THOM_HP_7502	61974	60121	0.97
WA_A_THOM_HP_7540	8871	8615	0.971
WA_A_THOM_HP_7543	64840	63559	0.98
WA_A_THOM_MG_7393	22904	22100	0.965
WA_A_THOM_MG_7417	88970	86342	0.97
WA_A_THOM_MG_7420	31646	30332	0.958
WA_A_THOM_MG_7480	2366	2294	0.97
WA_A_THOM_MG_7502	27689	26664	0.963
WA_A_THOM_MG_7540	19002	18450	0.971
WA_A_THOM_MG_7543	139156	134945	0.97
WA_A_THOM_ST_7393	21331	20609	0.966
WA_A_THOM_ST_7417	121610	117551	0.967
WA_A_THOM_ST_7420	3761	3659	0.973
WA_A_THOM_ST_7480	23719	23107	0.974
WA_A_THOM_ST_7502	33954	32787	0.966
WA_A_THOM_ST_7540	15172	14687	0.968
WA_A_THOM_ST_7543	121248	117275	0.967
WA_A_VERR_GL_9507	25291	24353	0.963
WA_A_VERR_HP_9507	19570	18846	0.963
WA_A_VERR_MG_9507	16274	15761	0.968
WA_A_VERR_ST_9507	20745	19961	0.962
WA_A_WEBS_GL_7422	23540	22574	0.959
WA_A_WEBS_GL_7730	19480	18971	0.974
WA_A_WEBS_HP_7422	23619	22610	0.957
WA_A_WEBS_HP_7730	15320	14910	0.973
WA_A_WEBS_MG_7422	13300	12538	0.943
WA_A_WEBS_MG_7730	18391	17885	0.972
WA_A_WEBS_ST_7422	36576	34759	0.95
WA_A_WEBS_ST_7730	26542	25464	0.959
