SampleID	input	filtered	per_reads_kept
Control_13	1230	1155	0.939
Control_14	491	436	0.888
Control_15	3303	2913	0.882
Control_16	957	840	0.878
Control_17	318	155	0.487
Control_18	724	692	0.956
Control_19	865	773	0.894
Control_20	451	418	0.927
Control_21	1069	938	0.877
Control_22	1014	810	0.799
Control_23	272	104	0.382
Control_24	204	189	0.926
EP_A_AREN_EG_9196	9741	9171	0.941
EP_A_AREN_GL_9196	7138	6742	0.945
EP_A_AREN_HP_9196	7813	6917	0.885
EP_A_AREN_MG_9196	7540	7110	0.943
EP_A_AREN_ST_9196	9454	8649	0.915
EP_A_FASC_EG_8991	10299	9596	0.932
EP_A_FASC_EG_9016	9745	9138	0.938
EP_A_FASC_GL_8991	7983	7471	0.936
EP_A_FASC_GL_8996	22443	21488	0.957
EP_A_FASC_GL_9016	7667	7087	0.924
EP_A_FASC_HP_8991	7943	7430	0.935
EP_A_FASC_HP_8996	21526	20940	0.973
EP_A_FASC_HP_9016	12909	11990	0.929
EP_A_FASC_MG_8991	10500	10067	0.959
EP_A_FASC_MG_8996	24194	23575	0.974
EP_A_FASC_MG_9016	10127	9643	0.952
EP_A_FASC_ST_8991	5627	5196	0.923
EP_A_FASC_ST_8996	34319	33239	0.969
EP_A_FASC_ST_9016	8106	7345	0.906
EP_A_GALA_GL_8975	15530	14710	0.947
EP_A_GALA_HP_8975	8765	8308	0.948
EP_A_GALA_MG_8975	12182	11546	0.948
EP_A_GALA_ST_8975	13914	13249	0.952
EP_A_HEBE_GL_8983	9757	9221	0.945
EP_A_HEBE_GL_8987	11201	10792	0.963
EP_A_HEBE_HP_8983	7234	6918	0.956
EP_A_HEBE_HP_8987	18466	17968	0.973
EP_A_HEBE_MG_8983	10012	9628	0.962
EP_A_HEBE_MG_8987	25642	24960	0.973
EP_A_HEBE_ST_8983	12062	11208	0.929
EP_A_HEBE_ST_8987	30402	29373	0.966
EP_A_HYEY_EG_8955	6107	5374	0.88
EP_A_HYEY_EG_8959	14402	13457	0.934
EP_A_HYEY_GL_8955	12504	11897	0.951
EP_A_HYEY_GL_8959	18055	17057	0.945
