SampleID	input	filtered	per_reads_kept
WA_A_CRIS_HP_7497	22081	21319	0.965
WA_A_CRIS_HP_7536	882	872	0.989
WA_A_CRIS_HP_7539	17904	15990	0.893
WA_A_CRIS_HP_9467	15085	13967	0.926
WA_A_CRIS_HP_9473	10333	9923	0.96
WA_A_CRIS_HP_9510	12949	11780	0.91
WA_A_CRIS_HP_9621	20308	16966	0.835
WA_A_CRIS_HP_9624	5521	4961	0.899
WA_A_CRIS_MG_7497	4719	4478	0.949
WA_A_CRIS_MG_7536	11887	11664	0.981
WA_A_CRIS_MG_7539	4304	4029	0.936
WA_A_CRIS_MG_9467	47274	45551	0.964
WA_A_CRIS_MG_9473	26398	25134	0.952
WA_A_CRIS_MG_9510	12847	11665	0.908
WA_A_CRIS_MG_9621	19427	18222	0.938
WA_A_CRIS_MG_9623	34980	33718	0.964
WA_A_CRIS_MG_9624	35824	34611	0.966
WA_A_CRIS_ST_7497	2433	2357	0.969
WA_A_CRIS_ST_7536	3876	3757	0.969
WA_A_CRIS_ST_7539	4198	3994	0.951
WA_A_CRIS_ST_9467	42397	40837	0.963
WA_A_CRIS_ST_9473	9732	9040	0.929
WA_A_CRIS_ST_9510	15300	14935	0.976
WA_A_CRIS_ST_9621	20049	19063	0.951
WA_A_CRIS_ST_9623	8407	8095	0.963
WA_A_CRIS_ST_9624	34463	33431	0.97
WA_A_FLOR_EG_9662	8025	7358	0.917
WA_A_FLOR_GL_9433	25440	24277	0.954
WA_A_FLOR_GL_9648	29830	29038	0.973
WA_A_FLOR_GL_9650	19791	19075	0.964
WA_A_FLOR_GL_9652	62026	60201	0.971
WA_A_FLOR_GL_9653	14801	14301	0.966
WA_A_FLOR_GL_9655	48968	47617	0.972
WA_A_FLOR_GL_9658	8609	8429	0.979
WA_A_FLOR_GL_9659	553	538	0.973
WA_A_FLOR_GL_9662	11286	10866	0.963
WA_A_FLOR_GL_9663	13694	13234	0.966
WA_A_FLOR_GL_9664	61179	59863	0.978
WA_A_FLOR_HP_9433	45028	43342	0.963
WA_A_FLOR_HP_9648	26300	25292	0.962
WA_A_FLOR_HP_9650	12863	12198	0.948
WA_A_FLOR_HP_9652	35779	34702	0.97
WA_A_FLOR_HP_9653	14311	13723	0.959
WA_A_FLOR_HP_9655	35474	33675	0.949
WA_A_FLOR_HP_9658	27168	26382	0.971
WA_A_FLOR_HP_9659	3101	2962	0.955
WA_A_FLOR_HP_9662	33024	31870	0.965
WA_A_FLOR_HP_9663	19359	18251	0.943
WA_A_FLOR_HP_9664	55902	53776	0.962
WA_A_FLOR_MG_9433	38692	37734	0.975
WA_A_FLOR_MG_9648	14482	14120	0.975
WA_A_FLOR_MG_9650	12864	12307	0.957
WA_A_FLOR_MG_9652	49684	48520	0.977
WA_A_FLOR_MG_9653	12796	12275	0.959
WA_A_FLOR_MG_9655	59887	58332	0.974
WA_A_FLOR_MG_9658	48320	47140	0.976
WA_A_FLOR_MG_9659	12634	11880	0.94
WA_A_FLOR_MG_9662	7747	7579	0.978
WA_A_FLOR_MG_9663	12401	12001	0.968
WA_A_FLOR_MG_9664	51834	50373	0.972
WA_A_FLOR_ST_9433	9621	9232	0.96
WA_A_FLOR_ST_9648	5244	5109	0.974
WA_A_FLOR_ST_9650	11824	11327	0.958
WA_A_FLOR_ST_9652	67157	65254	0.972
WA_A_FLOR_ST_9653	9780	9454	0.967
WA_A_FLOR_ST_9655	5960	5778	0.969
WA_A_FLOR_ST_9658	37555	35792	0.953
WA_A_FLOR_ST_9659	31919	31057	0.973
WA_A_FLOR_ST_9662	23600	22721	0.963
WA_A_FLOR_ST_9663	13650	13331	0.977
WA_A_FLOR_ST_9664	58831	56867	0.967
WA_A_FORM_GL_7455	43782	42733	0.976
WA_A_FORM_GL_7551	4225	4059	0.961
WA_A_FORM_HP_7455	5903	5803	0.983
WA_A_FORM_HP_7551	17110	16631	0.972
WA_A_FORM_MG_7455	11624	11184	0.962
WA_A_FORM_MG_7551	32397	30190	0.932
WA_A_FORM_ST_7455	13758	13452	0.978
WA_A_FORM_ST_7551	9303	9037	0.971
WA_A_NUTT_EG_9406	22972	22359	0.973
WA_A_NUTT_EG_9459	17572	17159	0.976
WA_A_NUTT_GL_7389	36271	34279	0.945
WA_A_NUTT_GL_7428	32718	31965	0.977
WA_A_NUTT_GL_7429	44882	41115	0.916
WA_A_NUTT_GL_7430	2594	2488	0.959
WA_A_NUTT_GL_9406	5394	5218	0.967
WA_A_NUTT_GL_9409	31009	30201	0.974
WA_A_NUTT_GL_9459	25914	25102	0.969
WA_A_NUTT_GL_9460	27203	26530	0.975
WA_A_NUTT_HP_7389	20683	19459	0.941
WA_A_NUTT_HP_7428	7387	7211	0.976
WA_A_NUTT_HP_7429	54905	53528	0.975
WA_A_NUTT_HP_7430	13015	11846	0.91
WA_A_NUTT_HP_9406	6082	5837	0.96
WA_A_NUTT_HP_9409	14374	14092	0.98
WA_A_NUTT_HP_9459	9943	9462	0.952
WA_A_NUTT_HP_9460	36694	34648	0.944
WA_A_NUTT_MG_7389	3008	2944	0.979
WA_A_NUTT_MG_7428	32303	31605	0.978
WA_A_NUTT_MG_7429	65030	60847	0.936
WA_A_NUTT_MG_7430	5811	5619	0.967
WA_A_NUTT_MG_9406	18639	18282	0.981
WA_A_NUTT_MG_9409	3051	2998	0.983
WA_A_NUTT_MG_9459	34456	33788	0.981
WA_A_NUTT_MG_9460	45483	43387	0.954
WA_A_NUTT_ST_7389	2897	2787	0.962
WA_A_NUTT_ST_7428	22525	21873	0.971
WA_A_NUTT_ST_7429	40440	38875	0.961
WA_A_NUTT_ST_7430	2137	2016	0.943
WA_A_NUTT_ST_9406	26462	25866	0.977
WA_A_NUTT_ST_9409	7764	7551	0.973
WA_A_NUTT_ST_9459	26735	26020	0.973
WA_A_NUTT_ST_9460	45178	43519	0.963
WA_A_PARA_EG_9364	36453	35413	0.971
WA_A_PARA_EG_9478	54923	53036	0.966
WA_A_PARA_EG_9486	61593	58914	0.957
WA_A_PARA_GL_7405	2830	2684	0.948
WA_A_PARA_GL_7453	53664	51699	0.963
WA_A_PARA_GL_7459	17243	16154	0.937
WA_A_PARA_GL_7460	3506	3352	0.956
WA_A_PARA_GL_9364	16877	16107	0.954
WA_A_PARA_GL_9474	381	368	0.966
WA_A_PARA_GL_9476	23611	22523	0.954
WA_A_PARA_GL_9477	44785	43786	0.978
WA_A_PARA_GL_9478	46688	43557	0.933
WA_A_PARA_GL_9486	36457	34955	0.959
WA_A_PARA_HP_7405	4547	4172	0.918
WA_A_PARA_HP_7453	29084	26056	0.896
WA_A_PARA_HP_7459	14481	13626	0.941
WA_A_PARA_HP_7460	14214	13227	0.931
WA_A_PARA_HP_9364	1944	1816	0.934
WA_A_PARA_HP_9474	6495	6237	0.96
WA_A_PARA_HP_9476	31275	30320	0.969
WA_A_PARA_HP_9477	4700	4383	0.933
WA_A_PARA_HP_9478	12147	11311	0.931
WA_A_PARA_HP_9486	46631	45797	0.982
WA_A_PARA_MG_7405	12047	11698	0.971
WA_A_PARA_MG_7453	26318	25253	0.96
WA_A_PARA_MG_7459	30054	29174	0.971
WA_A_PARA_MG_7460	4074	3793	0.931
WA_A_PARA_MG_9364	496	488	0.984
WA_A_PARA_MG_9474	29177	28255	0.968
WA_A_PARA_MG_9476	45683	44234	0.968
WA_A_PARA_MG_9477	3443	3324	0.965
WA_A_PARA_MG_9478	67389	65257	0.968
WA_A_PARA_MG_9486	53759	49839	0.927
WA_A_PARA_ST_7405	4594	4347	0.946
WA_A_PARA_ST_7453	5432	5249	0.966
WA_A_PARA_ST_7459	8411	8135	0.967
WA_A_PARA_ST_7460	2313	2150	0.93
WA_A_PARA_ST_9364	7607	7345	0.966
WA_A_PARA_ST_9474	37874	36831	0.972
WA_A_PARA_ST_9476	35692	34693	0.972
WA_A_PARA_ST_9477	348	336	0.966
WA_A_PARA_ST_9478	54637	53114	0.972
WA_A_PARA_ST_9486	54375	51680	0.95
WA_A_PCNS_EG_9443	34916	33910	0.971
WA_A_PCNS_EG_9515	58316	56271	0.965
WA_A_PCNS_EG_9516	39129	37348	0.954
WA_A_PCNS_GL_7399	5032	4671	0.928
WA_A_PCNS_GL_7445	3729	3476	0.932
WA_A_PCNS_GL_9374	13382	12879	0.962
WA_A_PCNS_GL_9443	13299	12864	0.967
WA_A_PCNS_GL_9513	11837	10427	0.881
WA_A_PCNS_GL_9515	50986	49503	0.971
WA_A_PCNS_GL_9516	55584	53620	0.965
WA_A_PCNS_GL_9519	26543	25778	0.971
WA_A_PCNS_HP_7399	16497	15433	0.936
WA_A_PCNS_HP_7445	12836	12096	0.942
WA_A_PCNS_HP_9374	13458	12914	0.96
WA_A_PCNS_HP_9443	29119	28172	0.967
WA_A_PCNS_HP_9513	1631	1484	0.91
WA_A_PCNS_HP_9515	18805	18046	0.96
WA_A_PCNS_HP_9516	22588	21775	0.964
WA_A_PCNS_HP_9519	13356	13024	0.975
WA_A_PCNS_MG_7399	30450	29321	0.963
WA_A_PCNS_MG_7445	6563	6306	0.961
WA_A_PCNS_MG_9374	13325	12774	0.959
WA_A_PCNS_MG_9443	11291	11056	0.979
WA_A_PCNS_MG_9513	590	571	0.968
WA_A_PCNS_MG_9515	63241	61659	0.975
WA_A_PCNS_MG_9516	43408	41915	0.966
WA_A_PCNS_MG_9519	2533	2490	0.983
WA_A_PCNS_ST_7399	35573	33859	0.952
WA_A_PCNS_ST_7445	3595	3412	0.949
WA_A_PCNS_ST_9374	15605	14920	0.956
WA_A_PCNS_ST_9443	45501	44237	0.972
WA_A_PCNS_ST_9513	8152	7804	0.957
WA_A_PCNS_ST_9515	27191	26226	0.965
WA_A_PCNS_ST_9516	35062	34351	0.98
WA_A_PCNS_ST_9519	6401	6218	0.971
WA_A_PCWS_EG_7450	3032	2910	0.96
WA_A_PCWS_EG_7559	26263	25607	0.975
WA_A_PCWS_EG_9522	53913	51733	0.96
WA_A_PCWS_GL_7410	4611	4392	0.953
WA_A_PCWS_GL_7440	5056	4854	0.96
WA_A_PCWS_GL_7441	4036	3801	0.942
WA_A_PCWS_GL_7443	41453	39886	0.962
WA_A_PCWS_GL_7450	6699	6249	0.933
WA_A_PCWS_GL_7559	21578	20958	0.971
WA_A_PCWS_GL_9439	55598	52796	0.95
WA_A_PCWS_GL_9522	51087	47491	0.93
WA_A_PCWS_HP_7410	4502	4160	0.924
WA_A_PCWS_HP_7440	4114	4004	0.973
WA_A_PCWS_HP_7441	7738	7455	0.963
WA_A_PCWS_HP_7443	32017	30225	0.944
WA_A_PCWS_HP_7450	18635	17898	0.96
WA_A_PCWS_HP_7559	31603	31129	0.985
WA_A_PCWS_HP_9439	15587	13990	0.898
WA_A_PCWS_HP_9522	58041	42264	0.728
WA_A_PCWS_MG_7410	18517	18013	0.973
WA_A_PCWS_MG_7440	15654	15209	0.972
WA_A_PCWS_MG_7441	20624	20090	0.974
WA_A_PCWS_MG_7443	28494	27646	0.97
WA_A_PCWS_MG_7450	47498	45862	0.966
WA_A_PCWS_MG_7559	11153	10939	0.981
WA_A_PCWS_MG_9439	43716	42466	0.971
WA_A_PCWS_MG_9522	63002	59724	0.948
WA_A_PCWS_ST_7410	6076	5747	0.946
WA_A_PCWS_ST_7440	7641	7188	0.941
WA_A_PCWS_ST_7441	31018	29469	0.95
WA_A_PCWS_ST_7443	3891	3763	0.967
WA_A_PCWS_ST_7450	40227	38052	0.946
WA_A_PCWS_ST_7559	23519	23046	0.98
WA_A_PCWS_ST_9439	11654	10680	0.916
WA_A_PCWS_ST_9522	57643	55266	0.959
WA_A_SIMU_GL_7486	41338	37818	0.915
WA_A_SIMU_GL_7717	42997	39122	0.91
WA_A_SIMU_GL_7718	9446	7096	0.751
WA_A_SIMU_HP_7486	31019	29700	0.957
WA_A_SIMU_HP_7717	5878	4842	0.824
WA_A_SIMU_HP_7718	8393	7151	0.852
WA_A_SIMU_MG_7486	5431	5103	0.94
WA_A_SIMU_MG_7717	12549	11160	0.889
WA_A_SIMU_MG_7718	10039	8599	0.857
WA_A_THOM_EG_9420	16451	16000	0.973
WA_A_THOM_GL_7419	3229	3111	0.963
WA_A_THOM_GL_7503	47169	44119	0.935
WA_A_THOM_GL_7541	2969	2850	0.96
WA_A_THOM_GL_9389	37791	37006	0.979
WA_A_THOM_GL_9420	31291	30487	0.974
WA_A_THOM_HP_7419	13340	12723	0.954
WA_A_THOM_HP_7503	35137	33804	0.962
WA_A_THOM_HP_7541	10212	9426	0.923
WA_A_THOM_HP_9389	9310	8954	0.962
WA_A_THOM_HP_9420	22384	21914	0.979
WA_A_THOM_MG_7503	26793	26015	0.971
WA_A_THOM_MG_7541	21263	20573	0.968
WA_A_THOM_MG_9389	2328	2223	0.955
WA_A_THOM_MG_9420	33833	32147	0.95
WA_A_THOM_ST_7419	5957	5611	0.942
WA_A_THOM_ST_7503	43799	42182	0.963
WA_A_THOM_ST_7541	41277	38510	0.933
WA_A_THOM_ST_9389	271	267	0.985
WA_A_THOM_ST_9420	38103	36334	0.954
WA_A_VERR_GL_9526	36462	35182	0.965
WA_A_VERR_GL_9611	39240	35354	0.901
WA_A_VERR_HP_9526	31209	30357	0.973
WA_A_VERR_HP_9611	47040	42321	0.9
WA_A_VERR_MG_9526	33383	32425	0.971
WA_A_VERR_MG_9611	58807	57410	0.976
WA_A_VERR_ST_9526	29459	28681	0.974
WA_A_VERR_ST_9611	51242	48973	0.956
WA_A_WEBS_EG_9610	2176	2081	0.956
WA_A_WEBS_GL_9610	4192	3864	0.922
WA_A_WEBS_HP_9610	7494	7261	0.969
WA_A_WEBS_MG_9610	51841	50470	0.974
WA_A_WEBS_ST_9610	60361	58634	0.971
WA_E_SAMP_RB_7531	9221	8727	0.946
WA_E_SAMP_RB_7533	66924	63284	0.946
WA_E_SAMP_RB_7534	12583	12131	0.964
WA_E_SAMP_RB_7535	35251	33593	0.953
WA_E_SAMP_WT_2670	21663	20696	0.955
WA_E_SAMP_WT_2671	22073	21354	0.967
WA_E_SAMP_WT_2672	24580	23842	0.97
WA_E_SAMP_WT_2673	24929	24206	0.971
WA_E_SAMP_WT_2674	16419	15931	0.97
WA_E_SAMP_WT_2675	18627	17959	0.964
WA_E_SAMP_WT_2676	16305	15211	0.933
WA_E_SAMP_WT_2677	72696	70765	0.973
WA_E_SAMP_WT_2678	61095	59129	0.968
WA_E_SAMP_WT_2679	136320	132075	0.969
WA_E_SAMP_WT_2680	71843	68291	0.951
WA_E_SAMP_WT_2681	97031	93041	0.959
WA_E_SAMP_WT_3023	51885	50420	0.972
WA_E_SAMP_WT_3031	51290	49788	0.971
WA_E_SAMP_WT_3039	45944	44025	0.958
WA_E_SAMP_WT_3047	42861	41341	0.965
WA_E_SAMP_WT_3051	48821	46474	0.952
WA_E_SAMP_WT_3063	57485	55510	0.966
WA_E_SAMP_WT_3071	60859	58949	0.969
WA_E_SAMP_WT_3075	44599	43195	0.969
