SampleID	input	filtered	per_reads_kept
Control_49	58	57	0.983
Control_50	576	543	0.943
Control_51	1639	1254	0.765
Control_52	6259	5920	0.946
Control_53	4189	3106	0.741
Control_54	4398	3646	0.829
Control_55	14670	12465	0.85
Control_56	11501	6796	0.591
Control_57	9298	8760	0.942
Control_58	19334	17020	0.88
Control_59	18531	10727	0.579
Control_60	23809	13093	0.55
EP_E_SAMP_MD_9290	10686	10276	0.962
EP_E_SAMP_MD_9291	11875	11423	0.962
EP_E_SAMP_MD_9292	33889	32855	0.969
EP_E_SAMP_MD_9293	7515	6662	0.886
EP_E_SAMP_MD_9294	27713	26682	0.963
EP_E_SAMP_RB_9295	17303	16674	0.964
EP_E_SAMP_RB_9296	12012	11631	0.968
EP_E_SAMP_RB_9297	37770	35066	0.928
EP_E_SAMP_RB_9298	49957	47859	0.958
EP_E_SAMP_RB_9299	48165	46261	0.96
EP_E_SAMP_RB_scrap1	31621	30184	0.955
EP_E_SAMP_RB_scrap2	14109	13445	0.953
EP_E_SAMP_RB_scrap3	51981	50176	0.965
EP_E_SAMP_RB_scrap4	43556	40544	0.931
EP_E_SAMP_SD_9285	21271	20198	0.95
EP_E_SAMP_SD_9286	16354	15725	0.962
EP_E_SAMP_SD_9287	41894	40539	0.968
EP_E_SAMP_SD_9288	47380	45526	0.961
EP_E_SAMP_SD_9289	21080	20261	0.961
EP_E_SAMP_SD_sed	15973	15233	0.954
EP_E_SAMP_WT_2977	64494	61669	0.956
EP_E_SAMP_WT_2985	62735	60803	0.969
EP_E_SAMP_WT_2989	63245	61017	0.965
EP_E_SAMP_WT_2995	67701	65697	0.97
EP_E_SAMP_WT_2999	51621	49936	0.967
EP_E_SAMP_WT_3006	66698	64220	0.963
EP_E_SAMP_WT_3007	51991	47579	0.915
EP_E_SAMP_WT_3014	55875	54411	0.974
WA_A_BAHA_GL_7470	7657	7244	0.946
WA_A_BAHA_GL_7475	9058	8817	0.973
WA_A_BAHA_GL_7478	28402	27204	0.958
WA_A_BAHA_GL_7514	14901	14538	0.976
WA_A_BAHA_GL_7516	89069	86680	0.973
WA_A_BAHA_HP_7470	19971	18873	0.945
WA_A_BAHA_HP_7475	18886	18071	0.957
WA_A_BAHA_HP_7478	29714	27479	0.925
WA_A_BAHA_HP_7514	6005	5712	0.951
WA_A_BAHA_HP_7516	29020	26896	0.927
WA_A_BAHA_MG_7470	57155	55179	0.965
WA_A_BAHA_MG_7475	46722	45108	0.965
WA_A_BAHA_MG_7478	4358	4262	0.978
WA_A_BAHA_MG_7514	6690	6552	0.979
WA_A_BAHA_MG_7516	71453	67285	0.942
WA_A_BAHA_ST_7470	41303	39647	0.96
WA_A_BAHA_ST_7475	51553	49160	0.954
WA_A_BAHA_ST_7478	3117	2981	0.956
WA_A_BAHA_ST_7514	17093	16650	0.974
WA_A_BAHA_ST_7516	44179	42591	0.964
WA_A_BOUV_EG_7582	44831	42870	0.956
WA_A_BOUV_EG_7585	2802	2622	0.936
WA_A_BOUV_GL_7582	42505	39345	0.926
WA_A_BOUV_GL_7585	3815	3621	0.949
WA_A_BOUV_GL_7588	2870	2663	0.928
WA_A_BOUV_HP_7582	25098	22805	0.909
WA_A_BOUV_HP_7585	14596	13703	0.939
WA_A_BOUV_HP_7588	4535	4424	0.976
WA_A_BOUV_MG_7582	2587	2544	0.983
WA_A_BOUV_MG_7585	7889	7646	0.969
WA_A_BOUV_MG_7588	16337	16023	0.981
WA_A_BOUV_ST_7582	3387	3122	0.922
WA_A_BOUV_ST_7585	3434	3229	0.94
WA_A_BOUV_ST_7588	27344	25361	0.927
WA_A_CRIS_EG_7536	48477	47173	0.973
WA_A_CRIS_EG_9473	2549	2336	0.916
WA_A_CRIS_EG_9510	9136	8498	0.93
WA_A_CRIS_EG_9623	55373	51435	0.929
WA_A_CRIS_EG_9624	21239	20417	0.961
WA_A_CRIS_GL_7497	15948	15484	0.971
WA_A_CRIS_GL_7536	4145	3968	0.957
WA_A_CRIS_GL_7539	21999	20222	0.919
WA_A_CRIS_GL_9467	39883	38389	0.963
WA_A_CRIS_GL_9473	32213	31083	0.965
WA_A_CRIS_GL_9510	14842	14167	0.955
WA_A_CRIS_GL_9621	18603	17857	0.96
WA_A_CRIS_GL_9623	62281	60605	0.973
WA_A_CRIS_GL_9624	252	231	0.917
