SampleID	input	filtered	per_reads_kept
Control_37	9610	8844	0.92
Control_38	7904	7304	0.924
Control_39	15311	12470	0.814
Control_40	1720	1546	0.899
Control_41	725	524	0.723
Control_42	1586	1015	0.64
Control_43	5324	5012	0.941
Control_44	6170	470	0.076
Control_45	3477	3302	0.95
Control_46	3570	3154	0.883
Control_47	2509	1796	0.716
Control_48	2964	725	0.245
WA_A_BAHA_EG_7656	6982	6426	0.92
WA_A_BAHA_GL_7472	38542	37291	0.968
WA_A_BAHA_GL_7473	26566	25214	0.949
WA_A_BAHA_GL_7474	1020	981	0.962
WA_A_BAHA_GL_7476	22788	21908	0.961
WA_A_BAHA_GL_7477	32667	30935	0.947
WA_A_BAHA_GL_7650	8896	8470	0.952
WA_A_BAHA_GL_7656	13364	12555	0.939
WA_A_BAHA_HP_7472	22165	21076	0.951
WA_A_BAHA_HP_7473	12139	11148	0.918
WA_A_BAHA_HP_7474	7950	7494	0.943
WA_A_BAHA_HP_7476	22921	21160	0.923
WA_A_BAHA_HP_7477	27294	26221	0.961
WA_A_BAHA_HP_7650	12432	11538	0.928
WA_A_BAHA_HP_7656	8972	6285	0.701
WA_A_BAHA_MG_7472	24339	23569	0.968
WA_A_BAHA_MG_7473	25845	25111	0.972
WA_A_BAHA_MG_7474	14310	13745	0.961
WA_A_BAHA_MG_7476	10042	9558	0.952
WA_A_BAHA_MG_7477	33195	32395	0.976
WA_A_BAHA_MG_7650	9008	8173	0.907
WA_A_BAHA_MG_7656	5775	5415	0.938
WA_A_BAHA_ST_7472	25876	25030	0.967
WA_A_BAHA_ST_7473	40115	38402	0.957
WA_A_BAHA_ST_7474	10149	9505	0.937
WA_A_BAHA_ST_7476	11217	10756	0.959
WA_A_BAHA_ST_7477	32546	31350	0.963
WA_A_BAHA_ST_7650	16915	16003	0.946
WA_A_BAHA_ST_7656	8377	7592	0.906
WA_A_BOUV_GL_7580	1891	1698	0.898
WA_A_BOUV_GL_7642	21121	20331	0.963
WA_A_BOUV_GL_7646	22877	21786	0.952
WA_A_BOUV_GL_7647	20895	20126	0.963
WA_A_BOUV_HP_7580	7833	7082	0.904
WA_A_BOUV_HP_7642	20766	20407	0.983
WA_A_BOUV_HP_7646	47749	46033	0.964
WA_A_BOUV_HP_7647	19977	19512	0.977
WA_A_BOUV_MG_7580	11517	10877	0.944
WA_A_BOUV_MG_7642	20085	19607	0.976
WA_A_BOUV_MG_7646	20883	20443	0.979
WA_A_BOUV_MG_7647	14572	14278	0.98
WA_A_BOUV_ST_7580	12372	11377	0.92
WA_A_BOUV_ST_7642	19777	19251	0.973
WA_A_BOUV_ST_7646	16828	16156	0.96
WA_A_BOUV_ST_7647	21262	20596	0.969
WA_A_CRIS_EG_7625	30487	27952	0.917
WA_A_CRIS_EG_7632	9113	7989	0.877
WA_A_CRIS_EG_9461	22728	20910	0.92
WA_A_CRIS_EG_9463	16786	15444	0.92
WA_A_CRIS_GL_7538	5749	5457	0.949
WA_A_CRIS_GL_7624	51136	49006	0.958
WA_A_CRIS_GL_7625	35883	34771	0.969
WA_A_CRIS_GL_7632	9913	9402	0.948
WA_A_CRIS_GL_7636	39343	38120	0.969
WA_A_CRIS_GL_9461	22847	21909	0.959
WA_A_CRIS_GL_9463	20080	19406	0.966
WA_A_CRIS_GL_9471	15116	14483	0.958
WA_A_CRIS_HP_7538	8741	7742	0.886
WA_A_CRIS_HP_7624	31763	29952	0.943
WA_A_CRIS_HP_7625	40931	38624	0.944
WA_A_CRIS_HP_7632	12343	11238	0.91
WA_A_CRIS_HP_9461	13350	11886	0.89
WA_A_CRIS_HP_9463	23939	23400	0.977
WA_A_CRIS_HP_9471	6726	6300	0.937
WA_A_CRIS_MG_7538	8672	8195	0.945
WA_A_CRIS_MG_7624	36391	34550	0.949
WA_A_CRIS_MG_7625	51901	49794	0.959
WA_A_CRIS_MG_7632	11061	10140	0.917
WA_A_CRIS_MG_7636	42295	40930	0.968
WA_A_CRIS_MG_9463	22463	21738	0.968
WA_A_CRIS_MG_9471	3235	3053	0.944
WA_A_CRIS_ST_7538	17862	16304	0.913
WA_A_CRIS_ST_7625	40473	38913	0.961
WA_A_CRIS_ST_7632	11632	11032	0.948
WA_A_CRIS_ST_9461	13652	12976	0.95
WA_A_CRIS_ST_9463	21122	20444	0.968
WA_A_CRIS_ST_9471	3987	3767	0.945
WA_A_FLOR_EG_7680	26420	25508	0.965
WA_A_FLOR_EG_7685	7907	7529	0.952
WA_A_FLOR_GL_7680	26069	25386	0.974
WA_A_FLOR_GL_7685	2367	2278	0.962
WA_A_FLOR_GL_7693	33874	32979	0.974
WA_A_FLOR_GL_7694	26697	25817	0.967
WA_A_FLOR_GL_7695	30120	29452	0.978
WA_A_FLOR_GL_7697	28202	26680	0.946
WA_A_FLOR_GL_9651	13445	12755	0.949
WA_A_FLOR_GL_9654	6695	6207	0.927
WA_A_FLOR_HP_7680	25928	24877	0.959
WA_A_FLOR_HP_7685	10251	9859	0.962
WA_A_FLOR_HP_7694	29640	28539	0.963
WA_A_FLOR_HP_7695	38143	36860	0.966
WA_A_FLOR_HP_7697	21403	20282	0.948
WA_A_FLOR_HP_9651	13619	12859	0.944
WA_A_FLOR_HP_9654	6921	6407	0.926
WA_A_FLOR_MG_7680	25924	25054	0.966
WA_A_FLOR_MG_7685	12616	12218	0.968
WA_A_FLOR_MG_7693	38346	37023	0.965
WA_A_FLOR_MG_7694	28576	27847	0.974
WA_A_FLOR_MG_7695	47153	46049	0.977
WA_A_FLOR_MG_7697	35755	33854	0.947
WA_A_FLOR_MG_9651	12214	11617	0.951
WA_A_FLOR_MG_9654	10853	10408	0.959
WA_A_FLOR_ST_7680	27604	26644	0.965
WA_A_FLOR_ST_7685	11694	11118	0.951
WA_A_FLOR_ST_7693	23692	22715	0.959
