SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
Control_25	1253	1133	1130	1128	1128	0.9
Control_26	3289	2944	2936	2930	2924	0.889
Control_27	2151	1716	1714	1713	1713	0.796
Control_28	34332	8178	7900	7886	7539	0.22
Control_29	1782	486	474	473	473	0.265
Control_30	1698	743	732	736	732	0.431
EP_A_AREN_GL_9195	32359	30658	30123	30257	29047	0.898
EP_A_AREN_HP_9195	45509	42718	42513	42632	42321	0.93
EP_A_AREN_MG_9195	18800	17616	17369	17492	16792	0.893
EP_A_AREN_ST_9195	55455	51994	51423	51661	50135	0.904
EP_A_FASC_EG_8993	28739	26728	26373	26459	25835	0.899
EP_A_FASC_EG_9056	46338	42721	42296	42453	41359	0.893
EP_A_FASC_GL_8992	5512	4825	4814	4816	4777	0.867
EP_A_FASC_GL_8993	10962	10064	10052	10046	10031	0.915
EP_A_FASC_GL_9020	19622	18626	18325	18367	17719	0.903
EP_A_FASC_GL_9056	40660	38332	38147	38159	37664	0.926
EP_A_FASC_HP_8992	29191	28158	28025	28071	27804	0.952
EP_A_FASC_HP_8993	6001	5445	5368	5384	5218	0.87
EP_A_FASC_HP_9020	27197	26114	26038	26062	25958	0.954
EP_A_FASC_HP_9056	35896	33788	33708	33696	33557	0.935
EP_A_FASC_MG_8992	22850	21716	21628	21663	21495	0.941
EP_A_FASC_MG_8993	46054	44109	43791	43840	43116	0.936
EP_A_FASC_MG_9020	25945	24679	24517	24608	24148	0.931
EP_A_FASC_MG_9056	32973	31312	31193	31247	30951	0.939
EP_A_FASC_ST_8992	69494	65129	64690	64842	60175	0.866
EP_A_FASC_ST_8993	41024	38144	37869	37966	37441	0.913
EP_A_FASC_ST_9020	60385	56838	56691	56702	56031	0.928
EP_A_GALA_EG_8970	22606	20868	20477	20592	19984	0.884
EP_A_GALA_EG_8972	37304	34526	33932	34050	33049	0.886
EP_A_GALA_EG_8978	33488	31307	31016	31025	30126	0.9
EP_A_GALA_GL_8970	34792	32813	32204	32383	31347	0.901
EP_A_GALA_GL_8971	56292	52482	52334	52346	51843	0.921
EP_A_GALA_GL_8972	39562	37605	37010	37229	35808	0.905
EP_A_GALA_GL_8978	20483	19472	19064	19190	18281	0.892
EP_A_GALA_GL_8979	34025	32483	31814	32090	30745	0.904
EP_A_GALA_GL_9003	51294	48756	48323	48429	47073	0.918
EP_A_GALA_HP_8970	40540	39034	38880	38924	38779	0.957
EP_A_GALA_HP_8971	34512	33322	33289	33285	33253	0.964
EP_A_GALA_HP_8972	44559	42679	42629	42663	42407	0.952
EP_A_GALA_HP_8979	19120	18617	18610	18610	18606	0.973
