SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
Control_13	1230	1155	1152	1150	799	0.65
Control_14	491	436	425	427	206	0.42
Control_15	3303	2913	2896	2909	1597	0.483
Control_16	957	840	838	836	710	0.742
Control_17	318	155	152	153	152	0.478
Control_18	724	692	692	692	678	0.936
Control_19	865	773	771	765	704	0.814
Control_20	451	418	418	417	417	0.925
Control_21	1069	938	937	929	928	0.868
Control_22	1014	810	792	807	635	0.626
Control_23	272	104	101	99	97	0.357
Control_24	204	189	185	185	183	0.897
EP_A_AREN_EG_9196	9741	9171	8764	8835	8308	0.853
EP_A_AREN_GL_9196	7138	6742	6535	6546	6198	0.868
EP_A_AREN_HP_9196	7813	6917	6796	6751	6518	0.834
EP_A_AREN_MG_9196	7540	7110	6932	6939	6529	0.866
EP_A_AREN_ST_9196	9454	8649	8437	8428	7800	0.825
EP_A_FASC_EG_8991	10299	9596	9053	9082	8500	0.825
EP_A_FASC_EG_9016	9745	9138	8937	8949	8585	0.881
EP_A_FASC_GL_8991	7983	7471	7274	7246	6952	0.871
EP_A_FASC_GL_8996	22443	21488	21283	21335	16675	0.743
EP_A_FASC_GL_9016	7667	7087	6919	6897	6682	0.872
EP_A_FASC_HP_8991	7943	7430	7330	7302	7072	0.89
EP_A_FASC_HP_8996	21526	20940	20823	20812	18836	0.875
EP_A_FASC_HP_9016	12909	11990	11861	11798	11152	0.864
EP_A_FASC_MG_8991	10500	10067	10009	9958	9816	0.935
EP_A_FASC_MG_8996	24194	23575	23319	23418	14837	0.613
EP_A_FASC_MG_9016	10127	9643	9480	9488	9113	0.9
EP_A_FASC_ST_8991	5627	5196	5074	4990	4740	0.842
EP_A_FASC_ST_8996	34319	33239	32895	32946	25768	0.751
EP_A_FASC_ST_9016	8106	7345	7241	7213	6985	0.862
EP_A_GALA_GL_8975	15530	14710	14213	14271	13524	0.871
EP_A_GALA_HP_8975	8765	8308	8261	8218	7487	0.854
EP_A_GALA_MG_8975	12182	11546	11400	11358	10882	0.893
EP_A_GALA_ST_8975	13914	13249	12995	12958	12025	0.864
EP_A_HEBE_GL_8983	9757	9221	9068	9074	8699	0.892
EP_A_HEBE_GL_8987	11201	10792	10750	10680	8175	0.73
EP_A_HEBE_HP_8983	7234	6918	6869	6855	6687	0.924
EP_A_HEBE_HP_8987	18466	17968	17938	17918	11069	0.599
EP_A_HEBE_MG_8983	10012	9628	9534	9547	9127	0.912
EP_A_HEBE_MG_8987	25642	24960	24681	24728	16413	0.64
EP_A_HEBE_ST_8983	12062	11208	10729	10796	9889	0.82
EP_A_HEBE_ST_8987	30402	29373	29010	29022	18757	0.617
EP_A_HYEY_EG_8955	6107	5374	5229	5276	5071	0.83
EP_A_HYEY_EG_8959	14402	13457	13229	13219	12464	0.865
EP_A_HYEY_GL_8955	12504	11897	11817	11778	11001	0.88
EP_A_HYEY_GL_8959	18055	17057	16552	16642	15491	0.858
EP_A_HYEY_GL_8961	11971	11289	10114	10226	8553	0.714
EP_A_HYEY_GL_8962	16420	15515	15281	15245	14605	0.889
EP_A_HYEY_HP_8955	9237	8722	8649	8596	8055	0.872
EP_A_HYEY_HP_8959	17981	15284	15171	15081	13657	0.76
EP_A_HYEY_HP_8961	8691	7958	7939	7907	7232	0.832
EP_A_HYEY_HP_8962	8351	7869	7756	7749	7315	0.876
EP_A_HYEY_MG_8955	4100	3922	3815	3825	3445	0.84
EP_A_HYEY_MG_8959	10087	9624	9550	9467	8936	0.886
EP_A_HYEY_MG_8961	11490	10825	10565	10594	9546	0.831
EP_A_HYEY_MG_8962	7874	7480	7325	7348	7011	0.89
EP_A_HYEY_ST_8955	5570	5272	5095	5079	4722	0.848
EP_A_HYEY_ST_8959	8339	7775	7712	7676	7089	0.85
EP_A_HYEY_ST_8961	9934	9465	9302	9321	8431	0.849
EP_A_HYEY_ST_8962	10365	9711	9284	9371	8693	0.839
EP_A_JAVI_GL_8940	18880	17836	17580	17659	12862	0.681
EP_A_JAVI_GL_8981	7086	6641	6588	6552	6486	0.915
EP_A_JAVI_HP_8940	15298	14218	14071	14081	10687	0.699
EP_A_JAVI_HP_8981	8993	8619	8584	8554	8032	0.893
EP_A_JAVI_MG_8940	12210	11888	11765	11788	7851	0.643
EP_A_JAVI_MG_8981	15593	14793	14573	14652	13779	0.884
EP_A_JAVI_ST_8940	24752	23331	23015	23015	15743	0.636
EP_A_JAVI_ST_8981	12108	11266	11090	11061	10311	0.852
EP_A_PANA_GL_9131	14210	13401	13153	13142	12614	0.888
EP_A_PANA_GL_9340	11689	11058	10858	10816	10184	0.871
EP_A_PANA_HP_9131	6720	6286	6249	6226	5901	0.878
EP_A_PANA_HP_9340	7804	7523	7495	7476	6856	0.879
EP_A_PANA_MG_9131	7606	7098	7038	7037	6354	0.835
EP_A_PANA_MG_9340	8067	7592	7499	7484	6869	0.851
EP_A_PANA_ST_9131	5338	4945	4850	4854	4475	0.838
EP_A_PANA_ST_9340	7647	7255	7172	7153	6468	0.846
EP_A_ROST_EG_9072	14616	13772	13604	13559	13068	0.894
