SampleID	input	filtered	per_reads_kept
Control_10	4854	3440	0.709
Control_11	6264	5922	0.945
Control_12	5840	3291	0.564
Control_1	4813	4595	0.955
Control_2	4153	3757	0.905
Control_3	6932	2135	0.308
Control_4	2445	2254	0.922
Control_5	833	778	0.934
Control_6	2657	2378	0.895
Control_7	3412	3245	0.951
Control_8	9156	2056	0.225
Control_9	3731	3478	0.932
EP_A_AREN_EG_8651	17019	16632	0.977
EP_A_AREN_EG_8654	19586	18954	0.968
EP_A_AREN_EG_8698	13996	13622	0.973
EP_A_AREN_GL_8465	8995	8581	0.954
EP_A_AREN_GL_8507	27436	26285	0.958
EP_A_AREN_GL_8508	9866	9506	0.964
EP_A_AREN_GL_8515	8081	7495	0.927
EP_A_AREN_GL_8520	9888	9608	0.972
EP_A_AREN_GL_8624	19816	19136	0.966
EP_A_AREN_GL_8625	34760	33251	0.957
EP_A_AREN_GL_8626	14100	13737	0.974
EP_A_AREN_GL_8627	8592	8343	0.971
EP_A_AREN_GL_8650	19245	18361	0.954
EP_A_AREN_GL_8651	14257	13912	0.976
EP_A_AREN_GL_8652	16722	16269	0.973
EP_A_AREN_GL_8654	247829	240613	0.971
EP_A_AREN_GL_8658	9791	9538	0.974
EP_A_AREN_GL_8697	23819	22915	0.962
EP_A_AREN_GL_8698	14698	14255	0.97
EP_A_AREN_GL_8699	18380	17839	0.971
EP_A_AREN_HP_8465	12222	11805	0.966
EP_A_AREN_HP_8507	34287	32507	0.948
EP_A_AREN_HP_8508	9244	8496	0.919
EP_A_AREN_HP_8515	19310	18563	0.961
EP_A_AREN_HP_8520	10560	10297	0.975
EP_A_AREN_HP_8624	15965	15097	0.946
EP_A_AREN_HP_8625	38631	37834	0.979
EP_A_AREN_HP_8626	24957	24241	0.971
EP_A_AREN_HP_8627	9639	9450	0.98
EP_A_AREN_HP_8650	21429	20704	0.966
EP_A_AREN_HP_8651	10972	10624	0.968
EP_A_AREN_HP_8652	12230	11896	0.973
EP_A_AREN_HP_8654	15241	14730	0.966
EP_A_AREN_HP_8658	7683	7429	0.967
EP_A_AREN_HP_8697	19761	17926	0.907
EP_A_AREN_HP_8698	199871	190874	0.955
EP_A_AREN_HP_8699	19284	18770	0.973
EP_A_AREN_MG_8465	6896	6670	0.967
EP_A_AREN_MG_8507	27773	26780	0.964
EP_A_AREN_MG_8508	14132	13441	0.951
EP_A_AREN_MG_8515	10891	10498	0.964
EP_A_AREN_MG_8520	14788	14155	0.957
EP_A_AREN_MG_8624	11524	11157	0.968
EP_A_AREN_MG_8625	27028	26363	0.975
EP_A_AREN_MG_8626	12860	12106	0.941
EP_A_AREN_MG_8627	8529	8269	0.97
EP_A_AREN_MG_8650	11932	11176	0.937
