ASV_ID	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
ASV2424	2	1131	0.176523	57	1	56	1.7543859649122806
ASV2436	302	818	26.964286	19	1	18	5.263157894736842
ASV2522	107	963	10	55	2	53	3.6363636363636362
ASV2533	60	1002	5.649718	37	1	36	2.7027027027027026
ASV2534	152	910	14.312618	33	1	32	3.0303030303030303
ASV2538	1	1058	0.094429	95	1	94	1.0526315789473684
ASV2565	117	931	11.164122	32	3	29	9.375
ASV2574	1009	34	96.740173	3	1	2	33.33333333333333
ASV2610	166	856	16.242661	30	1	29	3.3333333333333335
ASV2620	1	1018	0.098135	31	1	30	3.225806451612903
ASV2664	37	963	3.7	50	1	49	2
ASV2670	342	654	34.337349	57	2	55	3.508771929824561
ASV2688	833	151	84.654472	6	2	4	33.33333333333333
ASV2704	916	60	93.852459	3	1	2	33.33333333333333
ASV2712	1	969	0.103093	23	1	22	4.3478260869565215
ASV2753	457	494	48.054679	52	2	50	3.8461538461538463
ASV2783	104	834	11.08742	51	1	50	1.9607843137254901
ASV2784	149	789	15.884861	48	1	47	2.083333333333333
ASV2786	1	937	0.10661	25	1	24	4
ASV2790	51	885	5.448718	62	1	61	1.6129032258064515
ASV2808	927	0	100	1	1	0	100
ASV2811	11	915	1.187905	49	1	48	2.0408163265306123
ASV2837	74	839	8.105148	35	1	34	2.857142857142857
ASV2842	36	876	3.947368	66	1	65	1.5151515151515151
ASV2852	31	877	3.414097	70	1	69	1.4285714285714286
ASV2879	39	861	4.333333	68	1	67	1.4705882352941175
ASV2976	21	834	2.45614	38	1	37	2.631578947368421
ASV2995	290	557	34.238489	31	1	30	3.225806451612903
ASV3004	70	772	8.313539	32	1	31	3.125
ASV3072	684	131	83.92638	13	1	12	7.6923076923076925
ASV3093	77	731	9.529703	28	1	27	3.571428571428571
ASV3135	100	692	12.626263	33	1	32	3.0303030303030303
ASV3143	386	402	48.984772	42	2	40	4.761904761904762
ASV3181	316	456	40.932642	26	2	24	7.6923076923076925
ASV3249	532	217	71.028037	6	2	4	33.33333333333333
ASV3263	2	739	0.269906	36	1	35	2.7777777777777777
ASV3273	737	0	100	1	1	0	100
ASV3274	355	382	48.16825	27	2	25	7.4074074074074066
ASV3316	724	0	100	1	1	0	100
ASV3328	117	603	16.25	37	1	36	2.7027027027027026
ASV3336	74	642	10.335196	33	1	32	3.0303030303030303
ASV3351	24	688	3.370787	41	1	40	2.4390243902439024
ASV3361	1	708	0.141044	79	1	78	1.2658227848101267
ASV3391	120	578	17.191977	9	1	8	11.11111111111111
ASV3406	1	694	0.143885	78	1	77	1.282051282051282
ASV3413	57	636	8.225108	23	2	21	8.695652173913043
ASV3415	1	692	0.1443	53	1	52	1.8867924528301887
ASV3429	577	112	83.744557	9	1	8	11.11111111111111
ASV3452	646	37	94.582723	2	1	1	50
ASV3467	120	559	17.673049	27	1	26	3.7037037037037033
ASV3535	365	297	55.135952	33	4	29	12.121212121212121
ASV3552	520	139	78.907436	7	2	5	28.57142857142857
ASV3575	1	649	0.153846	42	1	41	2.380952380952381
ASV3577	1	649	0.153846	31	1	30	3.225806451612903
ASV3579	88	562	13.538462000000001	37	2	35	5.405405405405405
ASV3588	647	0	100	1	1	0	100
ASV3644	116	518	18.29653	17	1	16	5.88235294117647
ASV3678	52	572	8.333333	27	1	26	3.7037037037037033
ASV3689	91	530	14.653784	41	2	39	4.878048780487805
ASV3697	58	561	9.369952	29	1	28	3.4482758620689653
ASV3712	487	130	78.930308	16	2	14	12.5
ASV3840	25	561	4.266212	29	1	28	3.4482758620689653
ASV3847	72	512	12.328767	37	1	36	2.7027027027027026
ASV3857	2	581	0.343053	33	1	32	3.0303030303030303
ASV3878	579	0	100	1	1	0	100
ASV3923	55	516	9.632224	33	1	32	3.0303030303030303
ASV3972	83	478	14.795009	21	1	20	4.761904761904762
ASV3973	513	48	91.44385	4	1	3	25
ASV3995	557	0	100	1	1	0	100
ASV4054	109	437	19.96337	6	1	5	16.666666666666664
ASV4057	37	508	6.788991	25	1	24	4
ASV4060	41	504	7.522936	46	1	45	2.1739130434782608
ASV4091	40	498	7.434944	33	1	32	3.0303030303030303
ASV4093	155	383	28.810409	27	1	26	3.7037037037037033
ASV4137	374	157	70.433145	19	1	18	5.263157894736842
ASV4154	1	526	0.189753	16	1	15	6.25
ASV4223	441	75	85.465116	6	1	5	16.666666666666664
ASV4283	260	241	51.896208	2	1	1	50
ASV4304	498	0	100	1	1	0	100
ASV4367	140	346	28.806584	22	1	21	4.545454545454546
ASV4382	10	474	2.066116	19	1	18	5.263157894736842
ASV4420	106	370	22.268908	35	1	34	2.857142857142857
ASV4515	356	106	77.056277	3	1	2	33.33333333333333
ASV4758	33	393	7.746479	19	1	18	5.263157894736842
ASV4767	402	23	94.588235	3	1	2	33.33333333333333
ASV4794	34	387	8.07601	34	1	33	2.941176470588235
ASV4816	414	4	99.043062	2	1	1	50
ASV4870	117	294	28.467153	43	1	42	2.3255813953488373
ASV5034	34	357	8.695652	31	1	30	3.225806451612903
ASV5086	19	366	4.935065	24	2	22	8.333333333333332
ASV5094	47	337	12.239583	16	1	15	6.25
ASV5164	251	123	67.112299	14	1	13	7.142857142857142
ASV5238	349	16	95.616438	3	1	2	33.33333333333333
ASV5357	324	29	91.784703	2	1	1	50
ASV5441	294	53	84.726225	6	1	5	16.666666666666664
ASV5498	247	93	72.647059	12	1	11	8.333333333333332
ASV5509	339	0	100	1	1	0	100
ASV5521	325	14	95.870206	2	1	1	50
ASV5642	70	258	21.341463	23	1	22	4.3478260869565215
ASV5643	328	0	100	1	1	0	100
ASV5644	328	0	100	1	1	0	100
ASV5659	327	0	100	1	1	0	100
ASV5700	323	0	100	1	1	0	100
ASV5718	219	103	68.012422	5	1	4	20
ASV5732	321	0	100	1	1	0	100
ASV5775	209	109	65.72327	3	1	2	33.33333333333333
ASV6041	139	159	46.644295	2	1	1	50
ASV6113	32	262	10.884354	22	1	21	4.545454545454546
ASV6121	1	293	0.340136	8	1	7	12.5
ASV6187	99	190	34.256055	12	1	11	8.333333333333332
ASV6224	143	144	49.825784	25	2	23	8
ASV6389	276	0	100	1	1	0	100
ASV6449	8	264	2.941176	22	1	21	4.545454545454546
ASV6474	271	0	100	1	1	0	100
ASV6626	261	0	100	1	1	0	100
ASV6644	254	6	97.692308	2	1	1	50
ASV6692	55	202	21.400778	11	1	10	9.090909090909092
ASV6788	13	239	5.15873	15	1	14	6.666666666666667
ASV6881	237	11	95.564516	2	1	1	50
