SampleID	input	filtered	per_reads_kept
Control_25	1253	1133	0.904
Control_26	3289	2944	0.895
Control_27	2151	1716	0.798
Control_28	34332	8178	0.238
Control_29	1782	486	0.273
Control_30	1698	743	0.438
EP_A_AREN_GL_9195	32359	30658	0.947
EP_A_AREN_HP_9195	45509	42718	0.939
EP_A_AREN_MG_9195	18800	17616	0.937
EP_A_AREN_ST_9195	55455	51994	0.938
EP_A_FASC_EG_8993	28739	26728	0.93
EP_A_FASC_EG_9056	46338	42721	0.922
EP_A_FASC_GL_8992	5512	4825	0.875
EP_A_FASC_GL_8993	10962	10064	0.918
EP_A_FASC_GL_9020	19622	18626	0.949
EP_A_FASC_GL_9056	40660	38332	0.943
EP_A_FASC_HP_8992	29191	28158	0.965
EP_A_FASC_HP_8993	6001	5445	0.907
EP_A_FASC_HP_9020	27197	26114	0.96
EP_A_FASC_HP_9056	35896	33788	0.941
EP_A_FASC_MG_8992	22850	21716	0.95
EP_A_FASC_MG_8993	46054	44109	0.958
EP_A_FASC_MG_9020	25945	24679	0.951
EP_A_FASC_MG_9056	32973	31312	0.95
EP_A_FASC_ST_8992	69494	65129	0.937
EP_A_FASC_ST_8993	41024	38144	0.93
EP_A_FASC_ST_9020	60385	56838	0.941
EP_A_GALA_EG_8970	22606	20868	0.923
EP_A_GALA_EG_8972	37304	34526	0.926
EP_A_GALA_EG_8978	33488	31307	0.935
EP_A_GALA_GL_8970	34792	32813	0.943
EP_A_GALA_GL_8971	56292	52482	0.932
EP_A_GALA_GL_8972	39562	37605	0.951
EP_A_GALA_GL_8978	20483	19472	0.951
EP_A_GALA_GL_8979	34025	32483	0.955
EP_A_GALA_GL_9003	51294	48756	0.951
EP_A_GALA_HP_8970	40540	39034	0.963
EP_A_GALA_HP_8971	34512	33322	0.966
EP_A_GALA_HP_8972	44559	42679	0.958
EP_A_GALA_HP_8979	19120	18617	0.974
EP_A_GALA_HP_9003	43966	36857	0.838
EP_A_GALA_MG_8970	53460	50988	0.954
EP_A_GALA_MG_8971	42311	39791	0.94
EP_A_GALA_MG_8972	34903	33228	0.952
EP_A_GALA_MG_8978	42273	40313	0.954
EP_A_GALA_MG_8979	29464	28219	0.958
EP_A_GALA_MG_9003	31633	29883	0.945
EP_A_GALA_ST_8970	51759	49560	0.958
EP_A_GALA_ST_8971	25547	24385	0.955
EP_A_GALA_ST_8972	24987	24002	0.961
EP_A_GALA_ST_8979	45958	44207	0.962
EP_A_HEBE_EG_8986	32453	30646	0.944
EP_A_HEBE_EG_9350	50002	46173	0.923
EP_A_HEBE_GL_8937	23822	22530	0.946
EP_A_HEBE_GL_8938	55390	51575	0.931
EP_A_HEBE_GL_8984	29316	27617	0.942
EP_A_HEBE_GL_8985	19626	17829	0.908
EP_A_HEBE_GL_8986	2505	2333	0.931
EP_A_HEBE_GL_9350	32085	30444	0.949
EP_A_HEBE_HP_8937	4242	3367	0.794
EP_A_HEBE_HP_8938	30497	27990	0.918
EP_A_HEBE_HP_8984	19414	17701	0.912
EP_A_HEBE_HP_8985	19795	17211	0.869
EP_A_HEBE_HP_8986	27137	24781	0.913
EP_A_HEBE_HP_9350	25505	24548	0.962
EP_A_HEBE_MG_8937	21562	20671	0.959
EP_A_HEBE_MG_8938	27049	25779	0.953
EP_A_HEBE_MG_8984	28247	27018	0.956
EP_A_HEBE_MG_8985	30938	29450	0.952
EP_A_HEBE_MG_8986	23976	22938	0.957
EP_A_HEBE_MG_9350	16649	15959	0.959
EP_A_HEBE_ST_8937	2404	2236	0.93
EP_A_HEBE_ST_8938	33490	31064	0.928
EP_A_HEBE_ST_8984	31476	29547	0.939
EP_A_HEBE_ST_8985	46234	42714	0.924
EP_A_HEBE_ST_8986	50430	47386	0.94
EP_A_HYEY_EG_9045	28099	25967	0.924
EP_A_HYEY_EG_9199	25161	23358	0.928
EP_A_HYEY_GL_8960	17258	16482	0.955
EP_A_HYEY_GL_8963	27844	26443	0.95
EP_A_HYEY_GL_8964	34715	32357	0.932
EP_A_HYEY_GL_9011	27778	26142	0.941
EP_A_HYEY_GL_9045	32518	30706	0.944
EP_A_HYEY_GL_9047	40455	38339	0.948
EP_A_HYEY_GL_9198	44782	42585	0.951
EP_A_HYEY_GL_9199	12680	11970	0.944
EP_A_HYEY_HP_8963	25334	24507	0.967
EP_A_HYEY_HP_8964	25881	16420	0.634
EP_A_HYEY_HP_9011	17353	15945	0.919
EP_A_HYEY_HP_9045	23415	22765	0.972
EP_A_HYEY_HP_9047	47306	41698	0.881
EP_A_HYEY_HP_9198	26302	24568	0.934
EP_A_HYEY_HP_9199	15634	14523	0.929
