SampleID	input	filtered	per_reads_kept
EP_A_HYEY_MG_8963	33454	31931	0.954
EP_A_HYEY_MG_8964	25260	21993	0.871
EP_A_HYEY_MG_9011	21516	20353	0.946
EP_A_HYEY_MG_9045	14392	13642	0.948
EP_A_HYEY_MG_9047	31006	29525	0.952
EP_A_HYEY_MG_9198	45294	43373	0.958
EP_A_HYEY_MG_9199	5486	5211	0.95
EP_A_HYEY_ST_8963	27580	26218	0.951
EP_A_HYEY_ST_8964	35601	27480	0.772
EP_A_HYEY_ST_9011	42610	39784	0.934
EP_A_HYEY_ST_9045	38176	36654	0.96
EP_A_HYEY_ST_9047	24963	23496	0.941
EP_A_HYEY_ST_9198	37286	35110	0.942
EP_A_HYEY_ST_9199	34555	32626	0.944
EP_A_JAVI_EG_8943	32392	29893	0.923
EP_A_JAVI_GL_8943	57000	52043	0.913
EP_A_JAVI_HP_8943	14041	12746	0.908
EP_A_JAVI_MG_8943	17086	16325	0.955
EP_A_PANA_EG_8951	30878	29362	0.951
EP_A_PANA_EG_9021	32694	30747	0.94
EP_A_PANA_EG_9131	6392	6023	0.942
EP_A_PANA_GL_8951	25057	23311	0.93
EP_A_PANA_GL_9021	24952	23647	0.948
EP_A_PANA_HP_8951	3612	3509	0.971
EP_A_PANA_HP_9021	37167	35883	0.965
EP_A_PANA_MG_8951	44528	42265	0.949
EP_A_PANA_MG_9021	38070	36075	0.948
EP_A_ROST_GL_9075	21364	20268	0.949
EP_A_ROST_GL_9076	32512	30947	0.952
EP_A_ROST_GL_9115	22061	20647	0.936
EP_A_ROST_GL_9120	60935	56426	0.926
EP_A_ROST_GL_9121	28933	27635	0.955
EP_A_ROST_GL_9123	22338	21241	0.951
EP_A_ROST_HP_9075	22935	22050	0.961
EP_A_ROST_HP_9076	26717	25498	0.954
EP_A_ROST_HP_9115	16993	15077	0.887
EP_A_ROST_HP_9120	8033	7551	0.94
EP_A_ROST_HP_9121	28798	27367	0.95
EP_A_ROST_HP_9123	37040	35871	0.968
EP_A_ROST_MG_9075	2697	2534	0.94
EP_A_ROST_MG_9076	30757	28910	0.94
EP_A_ROST_MG_9115	32039	30482	0.951
EP_A_ROST_MG_9120	19276	18305	0.95
EP_A_ROST_MG_9121	21978	20775	0.945
EP_A_ROST_MG_9123	26135	24997	0.956
EP_A_ROST_ST_9075	42681	40039	0.938
EP_A_ROST_ST_9076	29203	27704	0.949
EP_A_ROST_ST_9120	25957	24189	0.932
EP_A_ROST_ST_9121	22440	21417	0.954
EP_A_ROST_ST_9123	34124	32576	0.955
EP_A_SAXI_EG_9233	26847	25433	0.947
EP_A_SAXI_EG_9241	32937	31244	0.949
EP_A_SAXI_EG_9249	50861	47728	0.938
EP_A_SAXI_EG_9250	28529	26886	0.942
EP_A_SAXI_EG_9253	31493	29587	0.939
EP_A_SAXI_EG_9255	34512	32094	0.93
EP_A_SAXI_GL_9233	41067	39188	0.954
EP_A_SAXI_GL_9241	22625	21550	0.952
EP_A_SAXI_GL_9247	44840	41850	0.933
EP_A_SAXI_GL_9249	22929	21807	0.951
EP_A_SAXI_GL_9250	28144	26752	0.951
EP_A_SAXI_GL_9253	36185	34009	0.94
EP_A_SAXI_GL_9255	31379	29585	0.943
EP_A_SAXI_GL_9259	35341	33291	0.942
EP_A_SAXI_HP_9233	9082	8813	0.97
EP_A_SAXI_HP_9241	29230	26741	0.915
EP_A_SAXI_HP_9247	10715	10135	0.946
EP_A_SAXI_HP_9250	6483	5952	0.918
EP_A_SAXI_HP_9253	9338	8632	0.924
EP_A_SAXI_HP_9255	15673	14832	0.946
EP_A_SAXI_HP_9259	16720	15804	0.945
EP_A_SAXI_MG_9233	41299	39510	0.957
EP_A_SAXI_MG_9241	35100	33183	0.945
EP_A_SAXI_MG_9247	48279	45839	0.949
EP_A_SAXI_MG_9249	22631	21005	0.928
EP_A_SAXI_MG_9253	31113	29056	0.934
EP_A_SAXI_MG_9255	25453	23610	0.928
EP_A_UMBO_GL_9127	68676	64497	0.939
EP_A_UMBO_HP_9127	32667	30735	0.941
EP_A_UMBO_MG_9127	28802	27235	0.946
EP_A_UMBO_ST_9127	31022	29479	0.95
EP_A_UTRI_EG_9067	30315	28467	0.939
EP_A_UTRI_EG_9268	37057	34940	0.943
EP_A_UTRI_GL_9067	36754	34494	0.939
EP_A_UTRI_GL_9267	20906	19620	0.938
EP_A_UTRI_GL_9268	31017	29352	0.946
EP_A_UTRI_GL_9272	28318	26792	0.946
EP_A_UTRI_HP_9067	34973	33428	0.956
EP_A_UTRI_HP_9267	34031	31962	0.939
EP_A_UTRI_HP_9268	42019	39393	0.938
EP_A_UTRI_HP_9272	38342	36001	0.939
EP_A_UTRI_MG_9067	38099	36188	0.95
EP_A_UTRI_MG_9267	24216	22734	0.939
EP_A_UTRI_MG_9268	29696	28047	0.944
EP_A_UTRI_ST_9067	49235	46650	0.947
EP_A_UTRI_ST_9267	8522	8013	0.94
EP_A_UTRI_ST_9272	23126	21677	0.937
