SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
Control_49	58	57	53	53	49	0.845
Control_50	576	543	540	540	539	0.936
Control_51	1639	1254	1254	1254	1253	0.764
Control_52	6259	5920	5912	5911	5862	0.937
Control_53	4189	3106	3080	3105	3080	0.735
Control_54	4398	3646	3643	3642	3640	0.828
Control_55	14670	12465	12417	12451	12402	0.845
Control_56	11501	6796	6779	6782	6754	0.587
Control_57	9298	8760	8755	8750	8744	0.94
Control_58	19334	17020	16977	16978	16743	0.866
Control_59	18531	10727	10623	10656	10610	0.573
Control_60	23809	13093	13051	13014	12969	0.545
EP_E_SAMP_MD_9290	10686	10276	8747	9119	7152	0.669
EP_E_SAMP_MD_9291	11875	11423	9994	10285	8250	0.695
EP_E_SAMP_MD_9292	33889	32855	29424	30275	25177	0.743
EP_E_SAMP_MD_9293	7515	6662	5644	5875	4366	0.581
EP_E_SAMP_MD_9294	27713	26682	23739	24458	20086	0.725
EP_E_SAMP_RB_9295	17303	16674	15714	15993	14013	0.81
EP_E_SAMP_RB_9296	12012	11631	10588	10898	9105	0.758
EP_E_SAMP_RB_9297	37770	35066	32668	33238	27795	0.736
EP_E_SAMP_RB_9298	49957	47859	45268	45979	40099	0.803
EP_E_SAMP_RB_9299	48165	46261	44170	44610	40000	0.83
EP_E_SAMP_RB_scrap1	31621	30184	28765	29277	26836	0.849
EP_E_SAMP_RB_scrap2	14109	13445	13145	13247	12738	0.903
EP_E_SAMP_RB_scrap3	51981	50176	47706	48333	43452	0.836
EP_E_SAMP_RB_scrap4	43556	40544	37729	38450	33501	0.769
EP_E_SAMP_SD_9285	21271	20198	17638	18312	14572	0.685
EP_E_SAMP_SD_9286	16354	15725	13290	13962	10757	0.658
EP_E_SAMP_SD_9287	41894	40539	37580	38293	32606	0.778
EP_E_SAMP_SD_9288	47380	45526	41645	42840	36204	0.764
EP_E_SAMP_SD_9289	21080	20261	17774	18303	14854	0.705
EP_E_SAMP_SD_sed	15973	15233	12846	13538	10582	0.662
EP_E_SAMP_WT_2977	64494	61669	59488	59842	55684	0.863
EP_E_SAMP_WT_2985	62735	60803	59180	59425	56227	0.896
EP_E_SAMP_WT_2989	63245	61017	55147	56391	48380	0.765
EP_E_SAMP_WT_2995	67701	65697	63995	64290	60583	0.895
EP_E_SAMP_WT_2999	51621	49936	48552	48871	46032	0.892
EP_E_SAMP_WT_3006	66698	64220	62749	62933	59273	0.889
EP_E_SAMP_WT_3007	51991	47579	46446	46479	43604	0.839
EP_E_SAMP_WT_3014	55875	54411	53156	53305	50556	0.905
WA_A_BAHA_GL_7470	7657	7244	7150	7175	6951	0.908
WA_A_BAHA_GL_7475	9058	8817	8729	8748	8598	0.949
WA_A_BAHA_GL_7478	28402	27204	27039	27045	26639	0.938
WA_A_BAHA_GL_7514	14901	14538	14279	14379	13922	0.934
WA_A_BAHA_GL_7516	89069	86680	86348	86481	85324	0.958
WA_A_BAHA_HP_7470	19971	18873	18829	18839	18651	0.934
WA_A_BAHA_HP_7475	18886	18071	17964	17982	17763	0.941
WA_A_BAHA_HP_7478	29714	27479	27390	27408	27162	0.914
WA_A_BAHA_HP_7514	6005	5712	5654	5663	5576	0.929
WA_A_BAHA_HP_7516	29020	26896	26846	26810	26685	0.92
WA_A_BAHA_MG_7470	57155	55179	54968	55097	54571	0.955
WA_A_BAHA_MG_7475	46722	45108	44749	44796	44079	0.943
WA_A_BAHA_MG_7478	4358	4262	4239	4229	4151	0.953
