SampleID	input	filtered	per_reads_kept
EP_A_UMBO_EG_9126	2748	2401	0.874
EP_A_UMBO_GL_9126	3050	2656	0.871
EP_A_UMBO_HP_9126	2103	1873	0.891
EP_A_UMBO_MG_9126	3186	2783	0.874
EP_A_UMBO_ST_9126	3167	2833	0.895
EP_A_UTRI_EG_9070	36144	31998	0.885
EP_A_UTRI_GL_9068	8182	7132	0.872
EP_A_UTRI_GL_9069	54328	48830	0.899
EP_A_UTRI_GL_9070	12881	11329	0.88
EP_A_UTRI_GL_9071	14203	12457	0.877
EP_A_UTRI_GL_9270	18210	17139	0.941
EP_A_UTRI_HP_9068	6965	6055	0.869
EP_A_UTRI_HP_9069	46739	42052	0.9
EP_A_UTRI_HP_9070	14462	12066	0.834
EP_A_UTRI_HP_9071	14932	13071	0.875
EP_A_UTRI_HP_9270	28951	26573	0.918
EP_A_UTRI_MG_9068	6154	5413	0.88
EP_A_UTRI_MG_9069	18041	16948	0.939
EP_A_UTRI_MG_9070	17339	14817	0.855
EP_A_UTRI_MG_9071	3469	2994	0.863
EP_A_UTRI_MG_9270	32238	29325	0.91
EP_A_UTRI_ST_9068	4692	4332	0.923
EP_A_UTRI_ST_9069	40962	36842	0.899
EP_A_UTRI_ST_9070	23717	19669	0.829
EP_A_UTRI_ST_9071	3195	2734	0.856
EP_A_UTRI_ST_9270	35507	32236	0.908
